Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,436,472,447,482,559,485,535,604,695,466,574,618
10,419,456,467,453,530,501,572,639,682,516,593,584
11,418,436,438,457,519,477,576,649,710,519,619,615
12,109,118,121,113,130,122,113,128,127,106,125,117
13,442,438,424,484,501,448,583,657,683,500,633,622
14,413,444,461,461,518,493,596,618,640,531,619,581
15,439,450,433,471,527,462,538,692,726,488,675,670
16,428,432,417,459,499,443,521,643,712,471,633,647
17,415,456,484,447,518,512,594,636,695,538,631,630
18,441,443,427,475,518,455,550,642,676,508,627,617
19,445,404,365,488,470,384,457,501,516,436,508,486
20,197,227,300,236,276,304,500,481,501,412,501,459
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
