Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,408,476,261,542,637,273,756,514,1267,392,510,700
10,426,464,341,448,480,475,783,710,1106,599,429,507
11,431,391,312,487,476,376,792,664,1267,551,570,466
12,128,128,128,128,128,128,128,128,128,128,128,128
13,483,458,287,584,345,368,885,703,992,323,717,590
14,364,442,338,518,456,533,934,471,1007,494,774,392
15,492,450,300,525,471,293,597,866,962,389,828,669
16,482,435,299,536,410,276,624,688,1166,388,761,608
17,410,501,376,428,403,569,886,519,1140,557,665,620
18,497,413,310,553,468,317,672,695,975,553,656,630
19,506,333,247,774,425,271,492,408,697,573,586,506
20,128,128,551,128,128,245,1052,305,962,145,809,134
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
