Hour,lum_sum[cd],Power[w]
9,6741,240
10,6774,243
11,6788,241
12,1536,65
13,6742,239
14,6729,238
15,6845,244
16,6678,240
17,7079,254
18,6744,242
19,5824,208
20,4720,168
21,1536,65
22,1536,65
