Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,523,269,280,586,399,285,646,467,1280,463,405,817
10,521,526,180,609,391,286,1063,828,128,143,128,128
11,290,128,129,776,691,453,471,699,1280,294,690,607
12,128,128,128,128,128,128,128,128,128,128,128,128
13,189,336,251,410,450,500,814,917,815,318,750,471
14,232,128,128,1280,128,128,130,171,633,193,1079,936
15,603,389,291,408,356,520,848,807,1152,321,450,554
16,369,538,183,589,325,463,779,1280,240,133,330,131
17,279,135,128,669,667,366,1020,704,975,206,382,1021
18,128,128,128,135,128,128,717,1280,392,128,749,1279
19,129,128,128,128,128,128,722,1064,497,128,825,1280
20,128,130,128,128,128,128,1280,377,128,235,128,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
