Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,345,418,427,415,546,505,546,642,721,493,626,648
10,441,447,396,473,519,426,570,611,648,467,545,526
11,152,164,187,163,207,212,274,406,501,310,499,523
12,109,118,121,113,130,122,113,128,127,106,125,117
13,348,354,348,438,465,404,501,730,683,435,694,696
14,333,396,389,415,557,480,549,658,706,489,642,643
15,219,304,310,217,312,300,270,421,379,286,500,415
16,442,363,301,538,413,300,456,413,316,401,394,292
17,414,440,452,474,536,500,547,629,709,493,619,631
18,307,269,278,269,299,301,292,430,401,314,505,439
19,299,279,275,261,302,300,151,178,183,133,159,153
20,109,118,121,113,130,122,113,128,127,106,125,117
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
