Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,144,314,154,413,742,441,721,593,1219,467,679,638
10,524,482,184,491,519,143,960,668,1280,307,416,204
11,128,129,128,128,128,130,128,255,890,359,1076,515
12,128,128,128,128,128,128,128,128,128,128,128,128
13,131,268,129,678,382,421,482,1254,140,130,863,1229
14,128,160,128,407,908,280,727,671,1084,400,772,588
15,128,645,136,128,260,329,128,465,128,161,1280,128
16,292,353,195,1187,219,273,649,377,148,479,412,128
17,320,354,325,606,542,451,713,541,1267,459,710,517
18,678,179,176,159,206,489,128,468,128,291,1147,316
19,669,202,128,193,378,555,128,128,130,128,128,128
20,128,128,128,128,128,128,128,128,128,128,128,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
