Hour,lum_sum[cd],Power[w]
9,5399,195
10,6233,220
11,6275,226
12,1536,65
13,5801,208
14,2378,93
15,4889,177
16,5395,197
17,5551,197
18,3015,115
19,1536,65
20,1536,65
21,1536,65
22,1536,65
