Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,128,190,128,1133,445,217,625,1280,128,128,866,128
10,128,155,256,761,139,246,447,551,1107,541,617,1280
11,128,131,128,691,1280,152,454,659,1280,459,644,264
12,128,128,128,128,128,128,128,128,128,128,128,128
13,351,186,191,1119,143,231,164,406,1280,129,604,992
14,818,169,128,236,128,128,128,128,128,128,129,128
15,508,129,130,137,366,142,608,1280,128,128,1202,128
16,304,220,134,128,539,322,1119,902,985,128,449,162
17,128,128,389,129,289,146,500,1280,486,128,665,1280
18,128,128,128,128,128,128,1280,195,128,387,128,128
19,128,128,128,128,128,128,128,128,128,128,128,128
20,128,128,128,128,128,128,128,128,128,128,128,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
