Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,739853,2796,737057,1728732,2796,1725936,1198727,2796,1195931,8364783,2796,8361987,2250701,2796,2247905,548065,2796,545269,3274008,2796,3271212,31859182,2796,31856386,14689871,2796,14687075,9953501,2796,9950705,24811689,2796,24808893,13729780,2796,13726984
2,613121,2924,610197,1377019,2924,1374095,959702,2924,956777,7694708,2924,7691783,1816388,2924,1813464,427833,2924,424909,2941017,2924,2938093,30084975,2924,30082051,14019993,2924,14017069,9127391,2924,9124467,23377548,2924,23374624,12896724,2924,12893799
3,613121,2924,610197,1377019,2924,1374095,959702,2924,956777,7694708,2924,7691783,1816388,2924,1813464,427833,2924,424909,2941017,2924,2938093,30084975,2924,30082051,14019993,2924,14017069,9127391,2924,9124467,23377548,2924,23374624,12896724,2924,12893799
4,508089,2998,505091,1152556,2998,1149557,802136,2998,799137,7472725,2998,7469726,1511683,2998,1508685,357772,2998,354774,2856116,2998,2853118,29380303,2998,29377305,13703414,2998,13700416,8851128,2998,8848130,22859160,2998,22856161,12519153,2998,12516155
5,508089,2998,505091,1152556,2998,1149557,802136,2998,799137,7472725,2998,7469726,1511683,2998,1508685,357772,2998,354774,2856116,2998,2853118,29380303,2998,29377305,13703414,2998,13700416,8851128,2998,8848130,22859160,2998,22856161,12519153,2998,12516155
6,394311,3132,391178,910231,3132,907098,631229,3132,628096,6820496,3132,6817363,1187107,3132,1183974,286322,3132,283189,2568236,3132,2565104,27275254,3132,27272121,12856821,3132,12853688,8016807,3132,8013674,21213054,3132,21209921,11513904,3132,11510771
7,394311,3132,391178,910231,3132,907098,631229,3132,628096,6820496,3132,6817363,1187107,3132,1183974,286322,3132,283189,2568236,3132,2565104,27275254,3132,27272121,12856821,3132,12853688,8016807,3132,8013674,21213054,3132,21209921,11513904,3132,11510771
8,296838,3288,293549,622685,3288,619396,428545,3288,425256,5997792,3288,5994503,836933,3288,833644,179670,3288,176381,2186934,3288,2183645,25305580,3288,25302291,12147698,3288,12144409,7068957,3288,7065668,19547249,3288,19543960,10643643,3288,10640354
9,296838,3288,293549,622685,3288,619396,428545,3288,425256,5997792,3288,5994503,836933,3288,833644,179670,3288,176381,2186934,3288,2183645,25305580,3288,25302291,12147698,3288,12144409,7068957,3288,7065668,19547249,3288,19543960,10643643,3288,10640354
10,178264,3457,174807,318257,3457,314800,200047,3457,196590,5616926,3457,5613469,451898,3457,448441,67904,3457,64447,2036356,3457,2032899,23712858,3457,23709401,11354291,3457,11350834,6552683,3457,6549226,18366861,3457,18363404,9865781,3457,9862324
11,178264,3457,174807,318257,3457,314800,200047,3457,196590,5616926,3457,5613469,451898,3457,448441,67904,3457,64447,2036356,3457,2032899,23712858,3457,23709401,11354291,3457,11350834,6552683,3457,6549226,18366861,3457,18363404,9865781,3457,9862324
12,111734,3634,108100,162243,3634,158609,89276,3634,85642,5031368,3634,5027734,247239,3634,243605,15921,3634,12287,1774701,3634,1771067,21933145,3634,21929511,10650242,3634,10646608,5841878,3634,5838244,16936101,3634,16932467,9067854,3634,9064220
13,111734,3634,108100,162243,3634,158609,89276,3634,85642,5031368,3634,5027734,247239,3634,243605,15921,3634,12287,1774701,3634,1771067,21933145,3634,21929511,10650242,3634,10646608,5841878,3634,5838244,16936101,3634,16932467,9067854,3634,9064220
14,45298,3833,41464,71887,3833,68053,18709,3833,14875,4454340,3833,4450506,108392,3833,104558,3833,3833,0,1526158,3833,1522324,19668300,3833,19664466,9747831,3833,9743997,4992449,3833,4988615,15211971,3833,15208137,7926453,3833,7922619
15,45298,3833,41464,71887,3833,68053,18709,3833,14875,4454340,3833,4450506,108392,3833,104558,3833,3833,0,1526158,3833,1522324,19668300,3833,19664466,9747831,3833,9743997,4992449,3833,4988615,15211971,3833,15208137,7926453,3833,7922619
16,16033,3974,12058,26970,3974,22996,5096,3974,1121,3940668,3974,3936694,38655,3974,34681,3974,3974,0,1332752,3974,1328778,18071903,3974,18067928,9125463,3974,9121489,4365581,3974,4361607,13933714,3974,13929739,7174992,3974,7171018
17,15559,3982,11577,26319,3982,22337,4798,3982,816,3933602,3982,3929620,37624,3982,33642,3982,3982,0,1330248,3982,1326266,18041375,3982,18037393,9111216,3982,9107234,4356776,3982,4352794,13910461,3982,13906479,7161425,3982,7157443
18,4607,4148,458,5066,4148,917,4148,4148,0,3475349,4148,3471201,5524,4148,1376,4148,4148,0,1161678,4148,1157529,16440554,4148,16436405,8497276,4148,8493128,3700093,4148,3695944,12659348,4148,12655199,6323769,4148,6319620
19,4560,4155,404,4964,4155,808,4155,4155,0,3469112,4155,3464956,5368,4155,1212,4155,4155,0,1159580,4155,1155424,16411918,4155,16407762,8483529,4155,8479373,3692149,4155,3687993,12637489,4155,12633333,6311153,4155,6306997
20,4318,4318,0,4318,4318,0,4318,4318,0,2798228,4318,2793909,4318,4318,0,4318,4318,0,935622,4318,931303,14306175,4318,14301856,7629173,4318,7624854,2868894,4318,2864575,10924067,4318,10919748,5319699,4318,5315380
21,4340,4340,0,4340,4340,0,4340,4340,0,2783369,4340,2779028,4340,4340,0,4340,4340,0,930683,4340,926342,14235875,4340,14231534,7594860,4340,7590519,2850096,4340,2845755,10870423,4340,10866083,5289205,4340,5284864
22,4480,4480,0,4480,4480,0,4480,4480,0,2231414,4480,2226934,4480,4480,0,4480,4480,0,746791,4480,742311,12505355,4480,12500875,6860611,4480,6856130,2221159,4480,2216678,9453573,4480,9449093,4530629,4480,4526149
23,4499,4499,0,4499,4499,0,4499,4499,0,2215533,4499,2211033,4499,4499,0,4499,4499,0,741510,4499,737011,12435884,4499,12431385,6826749,4499,6822249,2202509,4499,2198010,9399777,4499,9395277,4501606,4499,4497106
24,4606,4606,0,4606,4606,0,4606,4606,0,1884440,4606,1879834,4606,4606,0,4606,4606,0,792190,4606,787584,11520680,4606,11516074,6309954,4606,6305348,1901684,4606,1897078,8632446,4606,8627840,4002333,4606,3997727
25,4592,4592,0,4592,4592,0,4592,4592,0,2008148,4592,2003556,4592,4592,0,4592,4592,0,672444,4592,667852,11422551,4592,11417959,6336644,4592,6332052,1924473,4592,1919881,8632289,4592,8627697,4046883,4592,4042291
26,4743,4743,0,4743,4743,0,4743,4743,0,1395813,4743,1391069,4743,4743,0,4743,4743,0,808505,4743,803761,10316234,4743,10311490,5707897,4743,5703153,1421431,4743,1416687,7598675,4743,7593931,3335228,4743,3330484
27,4733,4733,0,4733,4733,0,4733,4733,0,1626615,4733,1621881,4733,4733,0,4733,4733,0,828598,4733,823864,10435654,4733,10430920,5724167,4733,5719433,1573266,4733,1568532,7802116,4733,7797382,3382940,4733,3378206
28,4879,4879,0,4879,4879,0,4879,4879,0,1329860,4879,1324980,4879,4879,0,4879,4879,0,923545,4879,918665,9097966,4879,9093087,4892583,4879,4887703,1289405,4879,1284525,6775920,4879,6771041,2692785,4879,2687906
29,4909,4909,0,4909,4909,0,4909,4909,0,1306026,4909,1301117,4909,4909,0,4909,4909,0,923869,4909,918960,9021781,4909,9016872,4848816,4909,4843907,1270665,4909,1265756,6713047,4909,6708138,2660439,4909,2655530
30,5012,5012,0,5012,5012,0,5012,5012,0,928202,5012,923190,5012,5012,0,5012,5012,0,1087728,5012,1082715,8145782,5012,8140769,4220876,5012,4215863,1047000,5012,1041987,5938569,5012,5933557,2171497,5012,2166484
31,5058,5058,0,5058,5058,0,5058,5058,0,995377,5058,990318,5058,5058,0,5058,5058,0,1078972,5058,1073914,8101092,5058,8096033,4191866,5058,4186807,1077072,5058,1072014,5945941,5058,5940883,2158308,5058,2153250
32,5195,5195,0,5195,5195,0,5195,5195,0,593330,5195,588135,5195,5195,0,5195,5195,0,1351279,5195,1346083,7588928,5195,7583733,3648388,5195,3643193,974099,5195,968904,5387460,5195,5382264,1829484,5195,1824288
33,5202,5202,0,5202,5202,0,5202,5202,0,763793,5202,758590,5202,5202,0,5202,5202,0,1292242,5202,1287039,7558432,5202,7553230,3666333,5202,3661130,1032560,5202,1027357,5461371,5202,5456168,1842581,5202,1837378
34,5286,5286,0,5286,5286,0,5286,5286,0,496724,5286,491437,5286,5286,0,5286,5286,0,1478439,5286,1473152,7253601,5286,7248314,3309740,5286,3304453,987581,5286,982294,5110517,5286,5105230,1657513,5286,1652226
35,5269,5269,0,232370,5269,227100,156669,5269,151400,667426,5269,662157,156669,5269,151400,80969,5269,75700,1401053,5269,1395784,7215921,5269,7210652,3570114,5269,3564844,1034240,5269,1028970,5180235,5269,5174966,1674141,5269,1668871
36,5391,5391,0,269726,5391,264334,181614,5391,176223,429230,5391,423839,181614,5391,176223,93502,5391,88111,1641751,5391,1636360,6633207,5391,6627816,3004816,5391,2999424,1035491,5391,1030099,4659401,5391,4654010,1372936,5391,1367545
37,5377,5377,0,267003,5377,261626,179794,5377,174417,570795,5377,565418,179794,5377,174417,92585,5377,87208,1501412,5377,1496034,6532479,5377,6527102,3059545,5377,3054168,1036103,5377,1030726,4670899,5377,4665522,1401648,5377,1396271
38,5516,5516,0,279064,5516,273548,187881,5516,182365,383681,5516,378165,187881,5516,182365,96699,5516,91182,1841241,5516,1835725,6364918,5516,6359401,2640921,5516,2635405,1112461,5516,1106945,4455209,5516,4449693,1186445,5516,1180928
39,5482,5482,0,313282,5482,307799,210682,5482,205199,478380,5482,472898,210682,5482,205199,108082,5482,102599,1584734,5482,1579252,6080863,5482,6075381,2731739,5482,2726257,1031557,5482,1026075,4318458,5482,4312975,1214711,5482,1209228
40,5574,5574,0,249473,5574,243899,168173,5574,162599,309074,5574,303499,168173,5574,162599,86873,5574,81299,1760412,5574,1754838,5794254,5574,5788680,2202916,5574,2197342,1210417,5574,1204843,4004026,5574,3998452,1245806,5574,1240232
41,5464,5464,0,5464,5464,0,5464,5464,0,463336,5464,457872,5464,5464,0,5464,5464,0,1642953,5464,1637489,5952715,5464,5947250,2281934,5464,2276469,1053145,5464,1047680,4224671,5464,4219207,1143699,5464,1138234
42,5542,5542,0,5542,5542,0,5542,5542,0,314797,5542,309255,5542,5542,0,5542,5542,0,1785935,5542,1780393,5912085,5542,5906542,1977820,5542,1972277,1276360,5542,1270817,4077380,5542,4071838,1330671,5542,1325128
