Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,739853,2796,737057,5871115,2796,5868319,1198727,2796,1195931,4748144,2796,4745348,23873197,2796,23870401,13190629,2796,13187833,13036999,2796,13034203,17019465,2796,17016669,22236967,2796,22234171,2796,2796,0,19465988,2796,19463192,4288788,2796,4285992
2,575872,2884,572988,5086899,2884,5084014,907663,2884,904778,4232738,2884,4229853,22492903,2884,22490018,11911775,2884,11908890,12576258,2884,12573373,15819056,2884,15816171,21228361,2884,21225477,2884,2884,0,18455459,2884,18452575,3922352,2884,3919467
3,570178,2907,567270,5056591,2907,5053683,898760,2907,895852,4210946,2907,4208038,22304513,2907,22301605,11838010,2907,11835102,12468192,2907,12465284,15710326,2907,15707419,21047675,2907,21044767,2907,2907,0,18303185,2907,18300278,3892903,2907,3889995
4,454286,3014,451272,4503532,3014,4500518,686405,3014,683391,3877929,3014,3874914,20874450,3014,20871436,10947192,3014,10944177,11862217,3014,11859202,14771789,3014,14768775,19891321,3014,19888306,3014,3014,0,17275974,3014,17272959,3612185,3014,3609171
5,451758,3026,448732,4489547,3026,4486521,682536,3026,679510,3867589,3026,3864563,20783788,3026,20780762,10911944,3026,10908918,11809686,3026,11806660,14719187,3026,14716161,19803804,3026,19800778,3026,3026,0,17202213,3026,17199187,3598044,3026,3595018
6,322004,3129,318874,3743319,3129,3740189,423750,3129,420620,3367639,3129,3364509,19390870,3129,19387741,9741292,3129,9738163,11293533,3129,11290403,13548553,3129,13545423,18775427,3129,18772297,3129,3129,0,16276138,3129,16273009,3324866,3129,3321737
7,319883,3141,316741,3730911,3141,3727769,420720,3141,417579,3358053,3141,3354911,19303728,3141,19300586,9708122,3141,9704980,11242279,3141,11239138,13497949,3141,13494808,18690487,3141,18687346,3141,3141,0,16204518,3141,16201377,3311300,3141,3308159
8,253283,3227,250056,3311238,3227,3308010,280913,3227,277685,3089556,3227,3086328,18417786,3227,18414558,8986499,3227,8983271,10889505,3227,10886277,12783868,3227,12780641,17975672,3227,17972444,3227,3227,0,15533209,3227,15529981,3099030,3227,3095802
9,251036,3241,247794,3297707,3241,3294465,277980,3241,274739,3078612,3241,3075371,18316310,3241,18313069,8948496,3241,8945255,10829127,3241,10825885,12724790,3241,12721548,17876120,3241,17872879,3241,3241,0,15449243,3241,15446001,3083318,3241,3080077
