Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,449,380,316,587,487,351,538,701,553,441,635,499
10,388,297,264,502,375,303,331,482,671,317,548,699
11,181,225,301,199,278,331,283,487,692,289,543,705
12,109,118,121,113,130,122,113,128,127,106,125,117
13,444,396,347,570,500,371,458,462,368,439,496,375
14,246,307,299,300,446,371,494,668,584,434,605,501
15,423,360,347,550,471,407,382,609,516,322,518,433
16,298,314,323,305,412,385,393,669,793,348,610,702
17,384,403,387,499,560,478,641,634,657,497,578,545
18,163,194,251,175,243,302,275,382,501,304,373,406
19,162,196,254,181,252,311,236,415,500,208,347,402
20,146,167,189,160,211,227,209,359,500,189,317,395
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
