Hour,lum_sum[cd],Power[w]
9,5495,198
10,5881,212
11,5301,191
12,1536,65
13,5216,189
14,4793,176
15,5015,183
16,5787,207
17,6150,222
18,3964,144
19,3627,134
20,3296,122
21,1536,65
22,1536,65
