Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,378,329,277,504,459,329,579,700,538,461,618,476
10,309,311,269,255,286,235,287,395,346,327,500,399
11,289,385,379,349,559,472,462,628,589,425,655,563
12,109,118,121,113,130,122,113,128,127,106,125,117
13,391,340,302,500,402,290,208,212,188,166,179,160
14,162,178,203,179,230,235,288,488,630,307,588,701
15,308,314,296,344,421,355,630,643,625,503,619,557
16,191,210,259,232,271,307,503,475,499,417,502,463
17,381,312,260,514,429,304,636,701,522,489,599,449
18,158,214,263,172,267,300,139,169,179,125,152,149
19,109,118,121,113,130,122,113,128,127,106,125,117
20,109,118,121,113,130,122,113,128,127,106,125,117
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
