Hour,lum_sum[cd],Power[w]
9,5131,185
10,4127,150
11,5347,195
12,1536,65
13,3437,127
14,4773,170
15,5561,200
16,4557,166
17,5121,185
18,2380,92
19,1536,65
20,1536,65
21,1536,65
22,1536,65
