Hour,lum_sum[cd],Power[w]
9,5724,207
10,6290,227
11,6856,247
12,1536,65
13,5924,213
14,5166,183
15,6659,240
16,6515,237
17,6231,221
18,5980,217
19,4835,175
20,2369,93
21,1536,65
22,1536,65
