Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,401,452,399,491,639,495,532,656,619,438,548,496
10,415,369,321,542,483,369,584,687,675,483,646,644
11,418,429,419,458,520,464,683,703,667,571,683,635
12,109,118,121,113,130,122,113,128,127,106,125,117
13,417,377,346,456,429,363,537,491,499,442,479,519
14,445,412,380,520,481,401,457,450,360,425,420,318
15,400,414,416,458,520,477,635,680,679,538,645,615
16,462,400,388,544,487,448,404,550,675,397,573,640
17,338,305,301,401,372,335,469,589,705,487,640,684
18,498,465,391,491,585,458,479,682,651,401,596,535
19,244,320,326,292,463,403,402,669,648,355,609,551
20,127,132,136,132,152,135,243,203,165,299,234,161
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
