,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36
Sensor1,3.1249200576229827,3.3249213971738367,3.3249213971738367,3.1249200576229827,3.440484579681599,3.7130857336945593,3.7130857336945593,3.440484579681599,3.569000738244396,3.8761602627627743,3.8761602627627743,3.569000738244396,3.440484579681599,3.7130857336945593,3.7130857336945593,3.440484579681599,3.1249200576229827,3.3249213971738367,3.3249213971738367,3.1249200576229827,2.7495113204828625,2.8828004905717832,2.8828004905717832,2.7495113204828625,2.3966220278162638,2.4833583827401977,2.4833583827401977,2.3966220278162638,2.0948550402858968,2.1520395390672804,2.1520395390672804,2.0948550402858968,1.8455539463237614,1.884297757656111,1.884297757656111,1.8455539463237614
Sensor2,2.3966220278162638,2.4833583827401977,2.4833583827401977,2.3966220278162638,2.7495113204828625,2.8828004905717832,2.8828004905717832,2.7495113204828625,3.1249200576229827,3.3249213971738367,3.3249213971738367,3.1249200576229827,3.440484579681599,3.7130857336945593,3.7130857336945593,3.440484579681599,3.569000738244396,3.8761602627627743,3.8761602627627743,3.569000738244396,3.440484579681599,3.7130857336945593,3.7130857336945593,3.440484579681599,3.1249200576229827,3.3249213971738367,3.3249213971738367,3.1249200576229827,2.7495113204828625,2.8828004905717832,2.8828004905717832,2.7495113204828625,2.3966220278162638,2.4833583827401977,2.4833583827401977,2.3966220278162638
Sensor3,1.8455539463237614,1.884297757656111,1.884297757656111,1.8455539463237614,2.0948550402858968,2.1520395390672804,2.1520395390672804,2.0948550402858968,2.3966220278162638,2.4833583827401977,2.4833583827401977,2.3966220278162638,2.7495113204828625,2.8828004905717832,2.8828004905717832,2.7495113204828625,3.1249200576229827,3.3249213971738367,3.3249213971738367,3.1249200576229827,3.440484579681599,3.7130857336945593,3.7130857336945593,3.440484579681599,3.569000738244396,3.8761602627627743,3.8761602627627743,3.569000738244396,3.440484579681599,3.7130857336945593,3.7130857336945593,3.440484579681599,3.1249200576229827,3.3249213971738367,3.3249213971738367,3.1249200576229827
