Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,505,274,316,542,653,391,668,617,1110,421,745,460
10,685,318,287,388,522,461,688,728,940,487,717,525
11,430,433,349,452,455,453,759,704,1005,513,708,460
12,128,128,128,128,128,128,128,128,128,128,128,128
13,387,373,324,649,458,417,680,680,1140,376,588,652
14,481,333,312,570,414,325,607,649,1096,445,881,803
15,444,477,278,569,416,392,668,565,1138,475,728,638
16,363,379,320,321,409,457,674,681,1122,484,748,560
17,431,384,285,586,526,505,678,637,1170,499,559,597
18,421,294,250,547,676,471,657,581,1168,521,756,529
19,467,195,245,680,371,468,962,618,1099,364,662,693
20,373,176,197,1012,231,359,270,445,1172,285,848,718
21,198,137,128,1280,194,131,128,421,1265,128,131,253
22,128,128,128,128,128,128,128,128,128,128,128,128
