Hour,lum_sum[cd],Power[w]
9,6708,240
10,6750,243
11,6728,244
12,1536,65
13,6727,244
14,6919,248
15,6795,248
16,6524,232
17,6863,248
18,6877,246
19,6829,246
20,6092,218
21,4397,162
22,1536,65
