Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,442,448,443,483,554,497,535,634,686,480,620,613
10,451,443,438,458,525,483,548,651,677,499,634,612
11,414,441,453,447,516,485,567,653,679,515,635,606
12,109,118,121,113,130,122,113,128,127,106,125,117
13,429,438,439,485,523,479,531,635,703,466,602,627
14,427,417,412,465,497,447,534,660,731,496,672,695
15,433,445,437,469,511,465,534,623,692,489,621,635
16,359,398,426,387,473,465,532,641,703,491,635,636
17,438,455,459,484,545,508,542,633,704,489,603,620
18,430,451,451,480,564,516,548,644,709,505,638,638
19,435,396,395,498,493,451,608,657,703,519,633,642
20,426,351,333,499,429,378,399,542,660,376,565,629
21,394,299,247,500,372,285,269,376,500,218,313,389
22,109,118,121,113,130,122,113,128,127,106,125,117
