Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,109,118,121,113,130,122,113,128,127,106,125,117
10,306,404,373,390,593,466,646,670,547,500,596,473
11,383,405,359,458,531,412,661,732,686,531,694,697
12,109,118,121,113,130,122,113,128,127,106,125,117
13,419,381,340,533,463,376,265,344,301,209,268,236
14,391,292,241,517,372,274,457,462,501,394,422,410
15,241,305,300,273,367,323,453,703,693,404,673,702
16,348,364,341,441,469,391,503,608,475,381,465,362
17,406,312,256,520,382,278,454,474,503,437,476,452
18,429,423,400,495,503,445,632,645,622,489,553,502
19,422,403,376,491,534,457,624,639,636,476,545,514
20,391,452,402,507,648,500,645,646,604,495,579,509
21,413,297,213,500,354,223,203,202,175,161,171,152
22,109,118,121,113,130,122,113,128,127,106,125,117
