Hour,lum_sum[cd],Power[w]
9,1536,65
10,5339,196
11,6603,235
12,1536,65
13,4009,147
14,4936,179
15,5520,197
16,4686,168
17,5263,188
18,6148,220
19,6062,217
20,5945,215
21,3126,118
22,1536,65
