Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
24,307047,5201,301846,292273,5201,287072,337717,5201,332516,336308,5201,331106,363526,5201,358325,387797,5201,382596,386250,5201,381049,574047,5201,568845,1153989,5201,1148788,387823,5201,382622,602509,5201,597308,1170386,5201,1165185
25,307263,5149,302114,292573,5149,287424,338068,5149,332919,336615,5149,331465,363971,5149,358822,388229,5149,383080,386842,5149,381693,575379,5149,570230,1156766,5149,1151617,388529,5149,383379,604237,5149,599087,1174593,5149,1169444
26,283885,5362,278523,267315,5362,261953,304735,5362,299373,314267,5362,308905,334496,5362,329133,354921,5362,349559,348081,5362,342719,529623,5362,524261,1074932,5362,1069570,349013,5362,343651,555061,5362,549699,1089563,5362,1084201
27,283693,5362,278331,267110,5362,261748,304305,5362,298943,315437,5362,310075,334610,5362,329248,354206,5362,348844,348407,5362,343045,529547,5362,524185,1073343,5362,1067981,349383,5362,344021,555480,5362,550118,1090709,5362,1085347
28,329385,5591,323793,270249,5591,264657,280591,5591,274999,358976,5591,353385,326879,5591,321287,326934,5591,321342,281083,5591,275491,478666,5591,473074,1005133,5591,999541,275182,5591,269590,496632,5591,491040,1022037,5591,1016446
29,331851,5486,326364,272180,5486,266693,282976,5486,277489,360788,5486,355302,328706,5486,323219,329189,5486,323703,282886,5486,277399,480876,5486,475390,1009755,5486,1004268,276499,5486,271013,498510,5486,493023,1025220,5486,1019733
30,406313,5861,400452,282922,5861,277061,250180,5861,244319,427886,5861,422025,325463,5861,319601,289672,5861,283811,242139,5861,236278,422963,5861,417102,885602,5861,879740,227594,5861,221733,432047,5861,426186,900293,5861,894432
31,406000,5714,400286,282537,5714,276822,249823,5714,244109,427554,5714,421839,324943,5714,319229,289268,5714,283554,241454,5714,235740,422463,5714,416749,885255,5714,879541,226601,5714,220887,431422,5714,425708,899946,5714,894232
32,325159,5905,319254,232403,5905,226497,212294,5905,206389,348990,5905,343085,270268,5905,264363,245764,5905,239859,201590,5905,195684,360805,5905,354899,760989,5905,755083,189453,5905,183548,370500,5905,364595,781608,5905,775702
33,325024,5905,319119,232341,5905,226436,212568,5905,206662,348801,5905,342895,269886,5905,263981,245283,5905,239378,201112,5905,195206,359516,5905,353610,757427,5905,751522,189049,5905,183143,369403,5905,363498,779147,5905,773241
34,366262,6084,360178,242178,6084,236094,196040,6084,189955,391329,6084,385244,278161,6084,272076,230187,6084,224102,194815,6084,188731,341375,6084,335290,708009,6084,701925,175698,6084,169613,346104,6084,340019,729704,6084,723619
35,364593,6023,358569,241784,6023,235760,196538,6023,190514,388831,6023,382807,277811,6023,271787,231096,6023,225072,195283,6023,189259,343341,6023,337317,713519,6023,707495,176590,6023,170566,348463,6023,342439,735354,6023,729330
36,334976,6150,328825,218544,6150,212393,172192,6150,166041,359450,6150,353299,250732,6150,244581,202047,6150,195896,173987,6150,167837,302110,6150,295959,620660,6150,614509,155587,6150,149436,306745,6150,300595,647355,6150,641205
37,337058,6150,330908,219529,6150,213378,172590,6150,166439,360662,6150,354512,251411,6150,245260,202335,6150,196185,174169,6150,168019,302277,6150,296126,620796,6150,614645,155717,6150,149566,306883,6150,300732,647455,6150,641305
38,327622,6218,321403,211326,6218,205107,162495,6218,156277,355076,6218,348857,243235,6218,237017,191380,6218,185162,168220,6218,162001,288320,6218,282101,587195,6218,580976,149665,6218,143446,292468,6218,286249,615540,6218,609322
39,327420,6218,321202,211061,6218,204842,162192,6218,155973,354805,6218,348587,242861,6218,236642,191016,6218,184797,167735,6218,161517,287278,6218,281059,585065,6218,578847,149095,6218,142876,291128,6218,284910,612335,6218,606116
40,369522,6451,363071,220879,6451,214427,147501,6451,141049,392304,6451,385852,246733,6451,240281,170558,6451,164106,160244,6451,153792,254329,6451,247877,491784,6451,485332,138036,6451,131584,254498,6451,248046,521707,6451,515256
41,371702,6399,365303,221949,6399,215550,147919,6399,141520,395462,6399,389063,248104,6399,241705,170991,6399,164592,160923,6399,154524,254818,6399,248419,492042,6399,485643,138425,6399,132026,254779,6399,248380,521892,6399,515493
42,317806,6432,311374,193642,6432,187209,133272,6432,126840,342382,6432,335950,219170,6432,212737,155350,6432,148918,146193,6432,139760,235978,6432,229545,460204,6432,453772,127549,6432,121116,238441,6432,232008,493227,6432,486794
43,317806,6432,311374,193642,6432,187209,133272,6432,126840,342382,6432,335950,219170,6432,212737,155350,6432,148918,146193,6432,139760,235978,6432,229545,460204,6432,453772,127549,6432,121116,238441,6432,232008,493227,6432,486794
44,322361,6609,315751,190100,6609,183491,123059,6609,116449,346675,6609,340065,212291,6609,205682,140651,6609,134041,136390,6609,129781,209173,6609,202563,393589,6609,386979,116380,6609,109771,208764,6609,202154,423001,6609,416391
45,308149,6605,301544,183394,6605,176788,120481,6605,113875,334913,6605,328308,206599,6605,199994,138631,6605,132026,134524,6605,127919,208212,6605,201606,394139,6605,387534,115390,6605,108785,208594,6605,201989,424780,6605,418175
46,359178,6721,352456,216600,6721,209878,134062,6721,127340,384433,6721,377711,245372,6721,238650,151601,6721,144880,135721,6721,128999,193241,6721,186520,336438,6721,329716,111486,6721,104764,187069,6721,180347,362268,6721,355546
47,356932,6677,350254,215514,6677,208837,133596,6677,126919,383106,6677,376429,244609,6677,237932,151252,6677,144575,135484,6677,128807,193020,6677,186343,336250,6677,329573,111304,6677,104627,186879,6677,180202,362118,6677,355440
48,317443,6723,310720,180052,6723,173329,106609,6723,99886,346718,6723,339995,199277,6723,192553,116578,6723,109855,149221,6723,142498,177265,6723,170542,287053,6723,280330,117716,6723,110993,171385,6723,164662,314993,6723,308270
49,317429,6709,310720,180038,6709,173329,106596,6709,99886,346704,6709,339995,199263,6709,192553,116564,6709,109855,149208,6709,142498,177251,6709,170542,287040,6709,280330,117702,6709,110993,171371,6709,164662,314979,6709,308270
50,301580,6748,294831,171526,6748,164778,102237,6748,95488,330607,6748,323859,190227,6748,183479,111889,6748,105141,139323,6748,132575,168966,6748,162218,276394,6748,269646,110603,6748,103855,163787,6748,157039,303564,6748,296816
51,303559,6748,296811,172462,6748,165714,102615,6748,95867,331760,6748,325012,190873,6748,184125,112164,6748,105415,139497,6748,132748,169125,6748,162377,276523,6748,269775,110727,6748,103979,163918,6748,157170,303659,6748,296911
52,310328,6792,303535,186300,6792,179507,112107,6792,105314,343649,6792,336856,214025,6792,207232,125039,6792,118246,136754,6792,129961,162965,6792,156172,253791,6792,246998,107028,6792,100235,154729,6792,147936,278975,6792,272182
53,308343,6753,301589,185341,6753,178587,111696,6753,104942,342477,6753,335724,213351,6753,206597,124730,6753,117976,136544,6753,129791,162769,6753,156016,253624,6753,246871,106867,6753,100114,154562,6753,147808,278842,6753,272089
54,301778,6853,294925,178758,6853,171905,102262,6853,95409,332782,6853,325929,203915,6853,197062,111394,6853,104541,103348,6853,96495,127547,6853,120694,187905,6853,181052,80951,6853,74098,119413,6853,112560,213265,6853,206412
55,301778,6853,294925,178758,6853,171905,102262,6853,95409,332782,6853,325929,203915,6853,197062,111394,6853,104541,103348,6853,96495,127547,6853,120694,187905,6853,181052,80951,6853,74098,119413,6853,112560,213265,6853,206412
56,291147,7019,284128,170036,7019,163016,94836,7019,87817,324312,7019,317293,193674,7019,186655,101665,7019,94646,120052,7019,113033,122856,7019,115836,159132,7019,152113,89795,7019,82776,112037,7019,105017,180893,7019,173874
57,291211,6999,284211,170143,6999,163143,95010,6999,88010,324385,6999,317385,193841,6999,186841,101945,6999,94946,120183,6999,113183,123220,6999,116220,160144,6999,153144,89905,6999,82906,112347,6999,105348,181584,6999,174584
58,304401,7013,297388,176142,7013,169129,96021,7013,89008,338943,7013,331930,199923,7013,192910,102296,7013,95283,97634,7013,90621,110202,7013,103189,144793,7013,137780,73689,7013,66676,99164,7013,92151,164456,7013,157443
59,304283,7004,297279,175990,7004,168985,95848,7004,88844,338789,7004,331784,199712,7004,192708,102090,7004,95086,97364,7004,90359,109630,7004,102626,143633,7004,136629,73372,7004,66368,98431,7004,91426,162714,7004,155709
60,265365,7026,258339,153531,7026,146505,84100,7026,77074,294436,7026,287410,173544,7026,166518,89245,7026,82219,86312,7026,79286,98350,7026,91323,130572,7026,123546,65932,7026,58905,89756,7026,82730,150736,7026,143709
61,265001,7026,257974,152847,7026,145821,83526,7026,76500,293976,7026,286950,172473,7026,165447,88468,7026,81441,86147,7026,79120,98106,7026,91080,130352,7026,123326,65824,7026,58797,89606,7026,82580,150598,7026,143571
62,267273,7148,260124,152837,7148,145689,80692,7148,73543,297541,7148,290392,172334,7148,165185,84245,7148,77097,81379,7148,74230,84643,7148,77495,97031,7148,89882,59801,7148,52652,73327,7148,66179,110853,7148,103705
63,265202,7139,258062,151791,7139,144652,80248,7139,73108,294566,7139,287427,171011,7139,163871,83788,7139,76648,80694,7139,73554,84134,7139,76994,96734,7139,89595,59384,7139,52245,73010,7139,65870,110625,7139,103485
64,306801,7302,299499,180207,7302,172905,95264,7302,87961,341883,7302,334581,206845,7302,199543,100737,7302,93434,109623,7302,102320,92352,7302,85049,80221,7302,72918,75645,7302,68343,73103,7302,65801,83213,7302,75910
65,304785,7214,297570,179207,7214,171993,94807,7214,87593,340672,7214,333458,206128,7214,198913,100382,7214,93167,109366,7214,102152,92109,7214,84894,80006,7214,72792,75437,7214,68222,72888,7214,65673,83032,7214,75818
66,209364,7208,202156,109280,7208,102072,52658,7208,45450,232300,7208,225092,116382,7208,109174,50457,7208,43249,62154,7208,54945,60267,7208,53059,64306,7208,57097,45831,7208,38623,52639,7208,45430,76358,7208,69149
67,211241,7208,204032,110224,7208,103015,53054,7208,45845,234998,7208,227790,117578,7208,110369,50865,7208,43657,62768,7208,55560,60722,7208,53514,64567,7208,57359,46202,7208,38994,52919,7208,45711,76557,7208,69349
68,205214,7200,198014,106521,7200,99321,50603,7200,43403,229176,7200,221975,113573,7200,106373,48269,7200,41068,59471,7200,52270,55123,7200,47923,54208,7200,47008,42732,7200,35531,46176,7200,38975,61615,7200,54414
69,201782,7200,194581,104842,7200,97642,49910,7200,42710,225583,7200,218383,111874,7200,104673,47646,7200,40446,58723,7200,51523,54545,7200,47345,53846,7200,46646,42265,7200,35065,45794,7200,38593,61341,7200,54141
