Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,301,345,381,360,469,463,526,639,736,496,633,668
10,428,427,431,460,502,467,546,660,697,492,625,615
11,426,431,428,471,503,452,669,717,693,544,662,634
12,109,118,121,113,130,122,113,128,127,106,125,117
13,419,458,466,465,551,507,557,642,710,501,599,614
14,430,446,412,484,551,462,597,645,627,472,553,502
15,434,445,448,484,538,496,573,663,692,496,620,613
16,431,459,455,488,558,510,571,605,685,490,567,595
17,421,453,449,463,527,491,543,609,712,486,563,626
18,414,419,438,458,486,470,540,648,721,472,595,624
19,301,346,359,359,462,438,593,647,723,464,570,625
20,307,304,300,262,307,318,227,380,501,200,321,396
21,145,191,261,155,228,301,134,164,180,122,149,149
22,109,118,121,113,130,122,113,128,127,106,125,117
