Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,535,420,239,488,455,418,765,537,1179,339,742,518
10,534,276,318,474,466,361,737,368,1194,466,821,560
11,201,226,130,158,839,413,698,796,1280,201,425,578
12,128,128,128,128,128,128,128,128,128,128,128,128
13,134,211,154,807,535,385,735,662,1280,434,350,866
14,128,524,235,128,130,130,849,502,628,128,1125,1267
15,479,402,308,526,350,266,727,563,1232,511,762,730
16,129,128,128,128,360,165,646,763,1204,402,972,628
17,208,128,140,1175,326,210,487,385,1191,496,425,1087
18,494,374,232,510,645,311,567,724,1252,354,587,662
19,314,341,128,354,1280,188,650,641,1241,359,576,354
20,431,128,128,128,700,128,297,1207,1254,130,684,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
