Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2796,2796,0,368109,2796,365313,185452,2796,182656,2796,2796,0,20102070,2796,20099274,368109,2796,365313,13721871,2796,13719075,7547205,2796,7544409,19554100,2796,19551304,345232,2796,342436,13721871,2796,13719075,2796,2796,0
2,2802,2802,0,346787,2802,343984,174795,2802,171992,2802,2802,0,19771629,2802,19768826,346787,2802,343984,13478043,2802,13475240,7380430,2802,7377627,19255652,2802,19252849,322806,2802,320003,13478043,2802,13475240,2802,2802,0
3,2835,2835,0,335705,2835,332869,169270,2835,166434,2835,2835,0,19670013,2835,19667177,335705,2835,332869,13413245,2835,13410409,7339868,2835,7337032,19170708,2835,19167872,318749,2835,315913,13413245,2835,13410409,2835,2835,0
4,2901,2901,0,259483,2901,256581,131192,2901,128290,2901,2901,0,19165882,2901,19162981,259483,2901,256581,13033641,2901,13030739,7030272,2901,7027370,18781011,2901,18778109,258902,2901,256000,13033641,2901,13030739,2901,2901,0
5,2943,2943,0,249294,2943,246350,126119,2943,123175,2943,2943,0,18970155,2943,18967212,249294,2943,246350,12897088,2943,12894144,6945702,2943,6942759,18600629,2943,18597686,250787,2943,247843,12897088,2943,12894144,2943,2943,0
6,3031,3031,0,172431,3031,169399,87731,3031,84699,3031,3031,0,17924263,3031,17921231,172431,3031,169399,12163387,3031,12160355,6465476,3031,6462445,17670163,3031,17667132,194165,3031,191133,12163387,3031,12160355,3031,3031,0
7,3068,3068,0,164176,3068,161107,83622,3068,80553,3068,3068,0,17807658,3068,17804590,164176,3068,161107,12086152,3068,12083083,6419074,3068,6416006,17565998,3068,17562929,190300,3068,187232,12086152,3068,12083083,3068,3068,0
8,3114,3114,0,133944,3114,130830,68529,3114,65415,3114,3114,0,17344569,3114,17341454,133944,3114,130830,11706515,3114,11703401,6128077,3114,6124962,17148323,3114,17145209,139745,3114,136630,11706515,3114,11703401,3114,3114,0
9,3151,3151,0,126455,3151,123303,64803,3151,61651,3151,3151,0,17198767,3151,17195615,126455,3151,123303,11606907,3151,11603755,6068344,3151,6065192,17013812,3151,17010660,134809,3151,131657,11606907,3151,11603755,3151,3151,0
10,3191,3191,0,105147,3191,101956,54169,3191,50978,3191,3191,0,16389130,3191,16385938,105147,3191,101956,11028355,3191,11025164,5718934,3191,5715743,16236195,3191,16233004,104772,3191,101580,11028355,3191,11025164,3191,3191,0
11,3237,3237,0,96796,3237,93558,50017,3237,46779,3237,3237,0,16229628,3237,16226390,96796,3237,93558,10921006,3237,10917768,5655856,3237,5652618,16089290,3237,16086052,100104,3237,96866,10921006,3237,10917768,3237,3237,0
12,3298,3298,0,92826,3298,89528,48062,3298,44764,3298,3298,0,15390340,3298,15387042,92826,3298,89528,10289405,3298,10286107,5263958,3298,5260660,15256048,3298,15252750,62101,3298,58803,10289405,3298,10286107,3298,3298,0
13,3319,3319,0,88286,3319,84967,45803,3319,42483,3319,3319,0,15346007,3319,15342688,88286,3319,84967,10262094,3319,10258775,5247991,3319,5244672,15218555,3319,15215236,60961,3319,57642,10262094,3319,10258775,3319,3319,0
14,3367,3367,0,58821,3367,55453,31094,3367,27726,3367,3367,0,14876196,3367,14872829,58821,3367,55453,9954637,3367,9951269,5070506,3367,5067138,14793016,3367,14789648,49119,3367,45751,9954637,3367,9951269,3367,3367,0
15,3388,3388,0,55593,3388,52204,29490,3388,26102,3388,3388,0,14812550,3388,14809162,55593,3388,52204,9912431,3388,9909043,5046383,3388,5042994,14734243,3388,14730855,47624,3388,44236,9912431,3388,9909043,3388,3388,0
16,3386,3386,0,57429,3386,54043,30408,3386,27021,3386,3386,0,14443689,3386,14440302,57429,3386,54043,9635698,3386,9632311,4879028,3386,4875642,14362624,3386,14359237,33129,3386,29743,9635698,3386,9632311,3386,3386,0
17,3385,3385,0,57267,3385,53882,30326,3385,26941,3385,3385,0,14459427,3385,14456041,57267,3385,53882,9646589,3385,9643203,4884712,3385,4881326,14378604,3385,14375218,33247,3385,29862,9646589,3385,9643203,3385,3385,0
18,3455,3455,0,37981,3455,34526,20718,3455,17263,3455,3455,0,13624679,3455,13621224,37981,3455,34526,9068399,3455,9064944,4554582,3455,4551127,13572889,3455,13569434,12782,3455,9327,9068399,3455,9064944,3455,3455,0
19,3497,3497,0,33020,3497,29523,18259,3497,14761,3497,3497,0,13515556,3497,13512058,33020,3497,29523,8998340,3497,8994842,4517245,3497,4513748,13471271,3497,13467773,11661,3497,8163,8998340,3497,8994842,3497,3497,0
20,3555,3555,0,22462,3555,18906,13008,3555,9453,3555,3555,0,12967099,3555,12963543,22462,3555,18906,8632978,3555,8629422,4324232,3555,4320676,12938740,3555,12935184,6538,3555,2982,8632978,3555,8629422,3555,3555,0
21,3560,3560,0,22427,3560,18867,12993,3560,9433,3560,3560,0,12942842,3560,12939282,22427,3560,18867,8616628,3560,8613067,4315840,3560,4312280,12914541,3560,12910981,6433,3560,2873,8616628,3560,8613067,3560,3560,0
22,3642,3642,0,10130,3642,6488,6886,3642,3244,3642,3642,0,11828146,3642,11824504,10130,3642,6488,7880501,3642,7876859,3942416,3642,3938774,11818413,3642,11814771,3814,3642,172,7880501,3642,7876859,3642,3642,0
23,3661,3661,0,9144,3661,5483,6402,3661,2741,3661,3661,0,11786795,3661,11783134,9144,3661,5483,7853819,3661,7850157,3928958,3661,3925297,11778570,3661,11774909,3770,3661,109,7853819,3661,7850157,3661,3661,0
24,3701,3701,0,7912,3701,4211,5806,3701,2105,3701,3701,0,10979390,3701,10975689,7912,3701,4211,7316616,3701,7312915,3660158,3701,3656457,10973073,3701,10969372,3701,3701,0,7316616,3701,7312915,3701,3701,0
25,3705,3705,0,7690,3705,3985,5698,3705,1992,3705,3705,0,10968132,3705,10964426,7690,3705,3985,7309337,3705,7305632,3656521,3705,3652816,10962153,3705,10958448,3705,3705,0,7309337,3705,7305632,3705,3705,0
