Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,128,271,128,1122,128,551,1141,130,128,195,128,128
10,128,134,860,128,128,147,128,456,128,257,1280,128
11,174,805,128,128,228,128,128,128,128,128,128,128
12,128,128,128,128,128,128,128,128,128,128,128,128
13,519,463,214,570,257,128,960,490,1119,128,571,1280
14,601,464,128,142,260,521,133,128,128,832,130,128
15,128,128,128,128,1280,132,644,792,1280,194,427,682
16,453,349,184,672,370,257,1280,131,128,141,129,128
17,128,128,128,128,128,128,128,530,128,211,1280,128
18,508,318,145,556,474,354,1139,859,128,128,128,128
19,760,282,631,130,157,234,128,128,128,128,128,128
20,128,128,128,128,128,128,128,128,128,128,128,128
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
