Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,380,314,287,499,366,304,499,337,239,370,288,205
10,166,205,303,174,229,261,273,409,366,301,504,410
11,208,299,266,187,257,219,130,151,148,119,140,129
12,109,118,121,113,130,122,113,128,127,106,125,117
13,430,407,362,465,452,373,553,605,704,450,590,690
14,304,314,306,255,306,301,249,231,206,300,246,182
15,303,423,409,370,615,522,485,642,738,403,569,630
16,399,358,300,454,401,300,517,343,235,375,292,202
17,143,147,159,156,189,174,266,414,364,288,500,409
18,416,391,342,467,470,376,561,537,399,412,422,313
19,301,278,299,236,247,249,139,158,160,126,149,139
20,109,118,121,113,130,122,113,128,127,106,125,117
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
