Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,328,401,266,664,543,461,690,667,1280,441,575,493
10,519,355,281,590,450,428,696,511,1280,478,752,563
11,518,462,266,449,418,430,914,779,1061,333,555,582
12,128,128,128,128,128,128,128,128,128,128,128,128
13,506,377,369,451,482,354,765,677,931,467,867,699
14,473,387,328,568,431,424,703,518,1280,418,880,492
15,238,148,166,262,893,544,748,528,1280,393,748,531
16,355,527,267,563,487,155,648,628,1280,337,1004,128
17,378,380,290,557,534,426,741,584,1192,505,608,634
18,374,399,353,514,444,416,750,658,897,442,702,702
19,653,327,196,406,326,600,678,830,764,492,639,799
20,226,131,128,128,1091,309,891,663,1280,239,534,146
21,129,128,129,128,128,128,135,314,1280,584,373,324
22,128,128,128,128,128,128,128,128,128,128,128,128
