Hour,lum_sum[cd],Power[w]
9,6815,243
10,6908,247
11,6772,244
12,1536,65
13,6951,246
14,6907,244
15,6486,234
16,6383,229
17,6835,243
18,6656,240
19,6715,245
20,5770,206
21,3783,138
22,1536,65
