Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,496,387,272,511,432,334,677,707,853,334,730,988
10,460,351,283,554,483,435,870,697,1045,285,689,520
11,474,329,299,432,605,378,829,495,1127,534,681,669
12,128,128,128,128,128,128,128,128,128,128,128,128
13,398,455,318,481,473,476,709,650,1160,481,559,637
14,360,441,271,539,443,419,786,574,1226,548,671,542
15,250,412,357,621,545,432,809,687,1013,492,638,569
16,438,266,314,433,581,435,889,529,1178,462,702,532
17,491,408,288,540,485,540,825,572,1280,467,626,416
18,409,478,277,492,599,268,813,465,1280,442,659,541
19,466,274,194,521,553,360,970,773,1280,206,417,556
20,252,162,173,1005,129,380,702,510,1210,268,473,908
21,129,128,128,1199,128,128,1215,128,128,131,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
