Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,312,409,376,384,597,468,576,660,542,468,621,494
10,405,354,313,500,472,380,426,662,781,360,586,706
11,417,415,403,485,501,433,577,698,728,502,667,684
12,109,118,121,113,130,122,113,128,127,106,125,117
13,298,360,345,370,514,433,495,661,677,410,570,540
14,410,390,389,455,457,427,538,426,322,393,348,259
15,302,286,279,264,322,300,290,396,357,327,499,405
16,307,409,394,371,578,489,521,644,690,442,592,568
17,247,300,307,273,331,318,501,557,688,414,552,670
18,299,303,328,337,390,380,583,658,706,515,655,639
19,301,281,303,336,337,321,503,567,696,420,570,675
20,306,250,238,262,280,267,285,476,670,294,548,701
21,143,147,159,156,189,174,265,414,364,287,499,409
22,109,118,121,113,130,122,113,128,127,106,125,117
