Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,172,128,128,133,1267,128,969,886,290,135,912,128
10,270,128,128,943,397,128,291,1040,1192,130,404,1154
11,326,372,312,677,377,266,771,865,909,343,693,920
12,128,128,128,128,128,128,128,128,128,128,128,128
13,134,143,128,307,845,128,639,1064,1109,218,480,129
14,522,281,209,538,430,734,1238,381,138,128,128,128
15,627,234,129,128,364,403,128,279,128,382,1280,128
16,145,190,142,172,1105,129,739,763,1280,275,654,128
17,180,463,196,128,133,128,940,449,1252,128,530,1241
18,322,151,234,242,283,325,931,691,1218,394,826,458
19,357,153,392,342,128,129,880,445,1280,133,630,1131
20,727,128,128,128,128,128,128,326,1214,134,956,1279
21,128,128,128,128,128,128,128,530,128,206,1280,130
22,128,128,128,128,128,128,128,128,128,128,128,128
