Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,15,12,12,12,105,12,79,69,24,12,74,12
10,22,12,12,74,32,12,24,90,97,12,32,93
11,27,31,25,56,30,23,61,74,72,27,55,79
12,12,12,12,12,12,12,12,12,12,12,12,12
13,12,13,12,25,67,12,55,87,90,19,39,12
14,44,23,18,47,37,58,101,31,12,12,12,12
15,50,20,12,12,29,33,12,23,12,30,105,12
16,13,16,12,14,96,12,63,60,105,22,54,12
17,15,37,16,12,12,12,75,36,102,12,45,101
18,26,13,20,20,23,27,75,54,99,30,69,39
19,29,14,32,29,12,12,70,36,105,12,54,95
20,58,12,12,12,12,12,12,26,102,12,77,101
21,12,12,12,12,12,12,12,43,12,17,103,12
22,12,12,12,12,12,12,12,12,12,12,12,12
