Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,424,433,408,470,516,438,548,680,760,471,665,698
10,409,435,441,440,525,486,593,643,694,520,616,606
11,422,432,444,476,530,499,538,631,707,498,632,649
12,109,118,121,113,130,122,113,128,127,106,125,117
13,440,464,452,455,520,476,547,637,715,509,631,639
14,416,442,458,484,548,513,576,669,705,494,632,625
15,436,457,462,471,549,512,551,637,716,492,604,628
16,423,440,460,460,522,499,576,641,689,523,618,609
17,417,429,440,464,503,475,547,603,648,475,593,608
18,422,410,387,474,515,438,543,687,718,497,660,655
19,326,388,391,394,543,473,582,641,586,493,583,493
20,300,272,311,251,273,311,250,231,212,304,249,186
21,299,224,173,235,205,158,133,146,142,120,139,128
22,109,118,121,113,130,122,113,128,127,106,125,117
