Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,12,27,12,104,30,27,12,59,23,12,100,102
10,12,21,19,21,63,39,60,66,98,19,34,31
11,37,35,23,12,13,13,87,27,78,12,60,12
12,12,12,12,12,12,12,12,12,12,12,12,12
13,20,24,19,35,33,44,60,41,93,28,49,65
14,23,17,24,20,73,35,57,48,105,34,49,50
15,27,20,17,47,29,27,105,49,74,21,68,16
16,46,24,16,45,35,42,58,33,67,39,78,70
17,39,32,22,43,24,21,96,69,105,15,32,51
18,20,31,22,46,77,22,49,43,104,36,62,61
19,12,12,14,17,70,13,91,68,82,16,44,19
20,12,48,12,12,12,12,86,24,84,14,63,14
21,12,12,12,12,12,12,101,14,12,33,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
