Hour,lum_sum[cd],Power[w]
9,6221,225
10,5938,210
11,4987,178
12,1536,65
13,6259,221
14,6593,232
15,6141,217
16,6728,239
17,6554,238
18,6839,248
19,5472,199
20,4715,171
21,3010,113
22,1536,65
