Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,255,310,319,322,435,380,626,644,622,493,602,535
10,413,397,355,459,470,388,508,380,279,377,318,231
11,432,392,347,545,489,390,543,694,728,453,639,680
12,109,118,121,113,130,122,113,128,127,106,125,117
13,437,376,334,565,487,381,418,664,653,386,676,702
14,109,118,121,113,130,122,113,128,127,106,125,117
15,256,356,320,296,499,383,269,267,228,303,262,196
16,445,386,292,454,399,274,510,335,225,371,287,196
17,301,259,271,357,308,304,500,331,239,365,285,204
18,309,300,302,317,386,329,496,699,567,435,686,541
19,301,282,300,251,246,234,141,157,155,127,149,136
20,109,118,121,113,130,122,113,128,127,106,125,117
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
