Hour,lum_sum[cd],Power[w]
9,5374,192
10,4552,167
11,6523,236
12,1536,65
13,6225,223
14,1536,65
15,3445,129
16,4272,158
17,3869,142
18,5089,181
19,2957,109
20,1536,65
21,1536,65
22,1536,65
