Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,436,412,380,458,473,405,533,676,729,489,681,691
10,435,447,450,479,525,490,541,634,703,492,610,633
11,423,452,464,459,514,489,603,630,701,531,611,622
12,109,118,121,113,130,122,113,128,127,106,125,117
13,367,397,418,419,465,452,479,569,637,480,572,606
14,337,398,428,388,495,479,588,646,664,511,668,646
15,424,436,447,483,531,499,685,713,700,555,666,637
16,340,405,440,363,478,478,511,624,688,476,622,622
17,413,423,419,459,507,454,557,659,692,511,672,653
18,428,467,460,465,542,488,566,628,707,503,597,623
19,458,495,439,499,674,539,536,641,713,488,627,654
20,295,377,367,367,542,462,549,677,754,451,628,680
21,216,239,242,270,341,296,547,690,594,445,621,514
22,109,118,121,113,130,122,113,128,127,106,125,117
