Step,Power[cd],Power[W]
0,0,0
1,2796.0,106.6272
2,2921.8200000000006,108.7557
3,2921.8200000000006,108.7557
4,3012.3172,111.30990000000003
5,3012.3172,111.30990000000003
6,3176.548881,116.41830000000002
7,3176.548881,116.41830000000002
8,3344.13705748,120.67530000000002
9,3344.13705748,120.67530000000002
10,3468.5565761232,125.78370000000004
11,3468.5565761232,125.78370000000004
12,3643.681955257984,130.89210000000003
13,3643.681955257984,130.89210000000003
14,3854.961295476258,137.2776
15,3854.961295476258,137.2776
16,3995.246160299872,141.53460000000004
17,3995.246160299872,141.53460000000004
18,4175.005234824177,147.92010000000005
19,4163.158035471388,147.92010000000005
20,4296.775746010698,152.17710000000005
21,4312.572011814416,152.17710000000005
22,4505.79189975328,158.56260000000003
23,4509.185361827363,158.56260000000003
24,4606.581243397724,161.96820000000002
25,4622.933113578289,161.96820000000002
26,4714.897155912223,165.37380000000002
27,4698.6146890994505,165.37380000000002
28,4887.506778658933,171.7593
29,4867.631500883372,171.7593
30,5042.812012526605,176.442
31,4986.8278693132825,176.442
32,5190.049231461055,181.9761
33,5135.823712646702,181.9761
34,5292.309407639478,184.5303
35,5239.799061473076,184.5303
36,5436.611468583286,189.21300000000005
37,5380.912440888668,189.21300000000005
38,5495.4808164273345,191.76720000000003
39,5461.116762614769,191.76720000000003
40,5640.542312734141,196.0242
41,5564.263298149053,196.0242
42,5819.3237280862295,202.4097
43,5708.532907703208,202.4097
44,5953.711900326633,207.09239999999997
45,5814.980178593304,207.09239999999997
46,5902.426431506813,206.241
47,5852.899517855943,206.241
48,6145.070075303273,213.4779
49,6022.706443688113,213.4779
50,6169.124479378204,214.3293
51,6099.642702254405,214.3293
52,6226.726214674168,216.4578
53,6174.157149434986,216.4578
54,6327.226940512723,219.4377
55,6229.212049238221,219.4377
56,6296.1660816616095,219.01200000000003
57,6278.849402398694,219.01200000000003
58,6507.3597744062445,226.24890000000002
59,6415.2675483827825,226.24890000000002
60,6621.980507343999,230.50590000000003
61,6512.564520707781,230.50590000000003
62,6672.675726358952,232.63440000000003
63,6518.211571719377,232.63440000000003
64,6729.064033411384,233.91150000000002
65,6588.632000732739,233.91150000000002
66,6676.3026285548685,231.78300000000002
67,6585.130841843081,231.78300000000002
68,6773.382691497372,235.61430000000004
69,6587.990275923192,235.61430000000004
70,6690.067002221878,232.63440000000003
71,6658.405791749174,232.63440000000003
72,6927.448675078813,241.14840000000004
73,6773.424081790812,241.14840000000004
74,6862.611667542481,239.44560000000004
75,6761.295997972004,239.44560000000004
76,6961.459724233149,241.99980000000005
77,6797.316406913862,241.99980000000005
78,6761.771203407006,236.04
79,6775.946220471891,236.04
80,6874.525824320011,239.4456
81,6751.212206331816,239.4456
82,6967.416529391125,242.4255
83,6822.386406467311,242.4255
84,6972.69604142606,242.42550000000006
85,6822.386406467311,242.42550000000006
86,6938.823185822296,241.57410000000004
87,6837.900689172831,241.57410000000004
88,6937.136275758576,241.57410000000002
89,6845.335661665932,241.57410000000002
90,6806.370429321534,236.89140000000006
91,6775.021783240491,236.89140000000006
92,6832.369907014423,238.1685
93,6795.949305876673,238.1685
94,6818.274881427401,237.31710000000004
95,6804.394959331676,237.31710000000004
96,6902.694988045346,241.1484
97,6804.394959331676,241.1484
98,6876.54525314525,239.44560000000004
99,6832.093125388599,239.44560000000004
100,6889.652114248319,239.8713
101,6789.630930187076,239.8713
102,6949.958597052045,241.57410000000002
103,6799.148222224763,241.57410000000002
104,6944.383641889528,241.99980000000002
105,6799.148222224763,241.99980000000002
106,6945.867107450412,240.72270000000003
107,6786.348222224763,240.72270000000003
108,6792.48780023512,236.04000000000005
109,6779.568681136628,236.04000000000005
110,6904.457580842563,239.87130000000002
111,6763.204175182589,239.87130000000002
112,6838.41089209346,238.59420000000003
113,6791.894795409684,238.59420000000003
114,6836.259812586577,237.74279999999996
115,6791.645464972269,237.74279999999996
116,6828.667484742275,238.59419999999997
117,6775.073592271632,238.59419999999997
118,6866.294600625752,239.0199
119,6784.58889646976,239.0199
120,6916.255311348582,241.1484
121,6784.58889646976,241.1484
122,6776.203815685301,235.61430000000001
123,6740.785141161772,235.61430000000001
124,6875.14915273778,239.87130000000002
125,6740.785141161772,239.87130000000002
126,6923.697835733626,242.4255
127,6740.785141161772,242.4255
128,6799.392741071712,236.4657
129,6797.543617223968,236.4657
130,6925.316933586415,241.5741
131,6797.543617223968,241.5741
132,6976.036656824484,242.42550000000006
133,6794.022301271532,242.42550000000006
134,6950.787407391114,241.99980000000002
135,6794.022301271532,241.99980000000002
136,6950.117661340912,241.9998
137,6768.422301271532,241.9998
138,6848.803576958939,238.59420000000003
139,6763.367046024105,238.59420000000003
140,6914.107608982029,239.8713
141,6735.216188235265,239.8713
142,6845.7473730044585,238.5942
143,6710.384188235265,238.5942
144,6725.547197050694,233.9115
145,6685.707591822913,233.9115
146,6872.353738582001,239.01989999999998
147,6696.8066688791205,239.01989999999998
148,6903.219187877606,240.72270000000003
149,6721.38538247912,240.72270000000003
150,6896.859391353464,240.29700000000003
151,6703.563971255002,240.29700000000003
152,6843.261480875575,238.16850000000002
153,6703.563971255002,238.16850000000002
154,6804.271689566106,236.89140000000003
155,6728.646103962788,236.89140000000003
156,6789.447726965328,236.04
157,6716.484507316081,236.04
158,6818.449794285412,236.8914
159,6734.969142768177,236.8914
160,6872.228898252867,239.87130000000002
161,6837.37678687148,239.87130000000002
162,7008.195650702612,244.12830000000002
163,6837.37678687148,244.12830000000002
