Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,414,442,457,440,530,496,542,652,663,497,630,606
10,428,419,409,456,512,457,573,656,714,520,666,675
11,355,411,441,420,519,504,540,643,697,500,654,645
12,109,118,121,113,130,122,113,128,127,106,125,117
13,420,443,460,467,530,507,546,636,696,502,615,624
14,309,377,382,347,490,442,496,650,725,464,660,677
15,433,457,454,480,540,496,536,611,699,473,581,614
16,337,421,458,384,541,536,532,641,729,494,617,636
17,414,452,451,489,564,509,545,625,694,493,620,611
18,458,454,459,483,538,506,560,637,692,487,602,615
19,407,417,401,484,525,450,642,643,586,512,571,491
20,302,378,357,371,539,446,613,638,620,464,537,491
21,329,374,328,408,502,387,199,229,213,161,188,174
22,109,118,121,113,130,122,113,128,127,106,125,117
