Hour,lum_sum[cd],Power[w]
9,6763,244
10,6947,245
11,6594,242
12,1536,65
13,6735,242
14,6620,231
15,6942,249
16,6770,250
17,6333,227
18,6774,240
19,6435,233
20,5872,215
21,3386,127
22,1536,65
