Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,30,34,20,51,42,31,61,53,105,33,57,47
10,34,44,29,41,31,43,71,41,86,26,59,61
11,42,31,28,40,38,35,58,73,65,40,52,57
12,12,12,12,12,12,12,12,12,12,12,12,12
13,46,20,16,34,31,28,95,76,86,25,56,47
14,20,27,14,64,44,21,34,59,105,21,60,65
15,39,31,27,39,42,35,70,46,105,37,56,48
16,26,26,28,58,49,32,58,54,101,43,53,49
17,15,29,15,36,47,15,44,66,105,26,79,47
18,34,34,30,48,31,29,57,49,100,34,62,47
19,40,38,24,38,27,29,105,47,81,15,74,19
20,12,12,12,65,45,26,104,58,95,12,41,13
21,21,12,12,103,30,39,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
