Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,372,408,241,611,538,391,715,600,1267,438,644,532
10,415,548,376,495,348,554,883,506,1077,347,660,734
11,483,338,332,484,428,441,703,858,781,508,583,649
12,128,128,128,128,128,128,128,128,128,128,128,128
13,574,243,184,411,382,350,1170,889,974,326,698,529
14,243,339,158,801,549,251,419,744,1280,255,758,819
15,468,376,338,480,483,443,880,523,1280,461,665,539
16,324,327,338,696,551,414,664,641,1101,531,626,551
17,187,353,169,444,558,178,532,817,1280,319,905,585
18,418,399,369,544,367,366,720,620,1242,443,738,542
19,501,449,300,444,332,366,1280,536,924,177,888,234
20,128,128,128,798,554,322,1278,678,1078,128,505,144
21,244,128,128,1280,359,477,129,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
