Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,134,401,169,1194,307,383,128,601,694,128,900,1111
10,459,259,258,1048,290,553,159,374,1060,378,619,987
11,285,128,130,662,1128,214,487,695,935,435,843,250
12,128,128,128,128,128,128,128,128,128,128,128,128
13,418,349,247,529,517,316,1103,642,1280,197,442,613
14,263,226,224,356,487,449,1192,813,950,337,621,527
15,428,299,285,574,406,594,793,749,329,201,359,677
16,399,544,315,599,366,345,902,476,749,367,247,417
17,128,177,128,1031,341,128,320,897,1254,322,770,702
18,128,128,128,233,1118,355,1229,591,448,336,833,241
19,128,373,128,1280,354,262,128,1280,128,128,523,128
20,128,128,128,128,128,129,128,492,128,335,1242,129
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
