Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
0,199,214,221,207,237,222,206,233,232,193,228,214
1,199,214,221,207,237,222,206,233,232,193,228,214
2,213,230,237,221,255,239,222,250,244,208,244,224
3,213,230,237,221,255,239,222,250,244,208,244,224
4,224,240,250,229,266,251,232,261,251,220,255,230
5,224,240,251,229,266,252,233,262,254,221,256,233
6,234,251,263,240,279,264,243,275,262,233,268,237
7,235,251,263,241,279,264,244,277,265,234,270,242
8,246,259,272,251,290,276,254,292,278,244,283,253
9,246,259,272,251,290,276,254,292,278,244,283,252
10,259,274,289,262,306,293,268,304,285,258,293,255
11,259,274,289,262,306,294,268,306,288,259,295,259
12,274,285,302,274,317,305,276,318,297,266,303,264
13,274,285,302,275,317,305,276,319,298,266,304,266
14,289,297,311,288,332,316,287,328,302,278,314,269
15,289,298,312,288,333,317,287,329,305,279,315,273
16,296,309,325,296,346,332,303,344,317,293,330,283
17,296,310,326,296,346,333,303,344,317,293,330,283
18,302,315,331,302,352,336,302,343,317,291,327,282
19,301,313,328,301,349,334,304,344,317,293,329,283
20,306,323,340,307,364,349,315,358,328,308,343,291
21,306,323,340,307,364,349,315,359,330,308,344,293
22,310,331,349,313,379,365,330,378,344,324,359,303
23,313,334,353,315,381,367,330,379,345,325,360,303
24,325,349,364,329,403,382,350,401,360,340,377,315
25,323,350,366,328,404,384,350,402,361,340,378,317
26,322,355,374,329,410,392,359,411,369,354,390,323
27,325,353,370,330,409,388,359,412,370,354,391,325
28,327,357,376,336,415,397,381,430,383,379,410,337
29,330,356,372,337,413,391,380,429,381,379,410,336
30,338,366,381,349,430,404,400,452,397,397,427,347
31,338,366,382,349,430,404,401,452,398,397,428,348
32,347,380,394,360,450,420,428,468,407,428,446,355
33,347,378,393,359,449,418,429,468,408,428,446,357
34,350,382,397,364,454,424,441,481,418,437,455,363
35,349,381,395,363,453,421,441,481,418,437,455,364
36,362,395,407,379,471,434,465,498,429,459,470,373
37,354,384,397,371,458,423,456,488,422,447,461,367
38,372,406,416,393,490,448,493,523,446,485,493,386
39,366,400,410,387,482,440,475,503,433,461,474,377
40,374,412,423,401,501,457,498,529,453,475,492,390
41,370,406,415,394,492,447,491,511,438,472,480,380
42,376,413,423,401,503,459,501,524,449,483,491,387
43,371,407,416,394,493,448,492,513,441,472,482,383
44,374,412,420,402,505,456,519,542,461,495,504,397
45,375,412,420,401,502,454,507,521,446,482,488,386
46,385,419,423,414,512,458,534,551,466,499,510,401
47,378,416,423,407,507,458,529,532,451,497,499,392
48,386,431,435,416,531,474,544,543,457,503,505,394
49,381,418,425,411,511,460,546,540,455,509,506,395
50,385,431,437,418,535,480,556,562,472,516,520,406
51,381,418,425,411,511,460,546,540,455,509,506,395
52,387,428,430,422,531,470,570,565,470,526,525,406
53,387,429,434,419,529,473,549,545,459,511,509,398
54,390,435,441,422,540,483,553,553,465,515,515,402
55,387,429,434,419,529,473,549,545,459,511,509,398
56,390,440,444,425,551,490,555,554,467,517,518,404
57,387,429,434,419,529,473,549,545,459,511,509,398
58,388,430,432,421,529,469,576,556,460,530,518,397
59,386,427,430,417,525,466,548,543,456,510,508,396
60,392,434,432,422,537,471,552,551,464,514,516,402
61,391,436,438,423,539,477,551,547,462,512,511,401
62,397,449,446,431,558,488,556,552,465,516,514,400
63,391,436,438,423,539,477,551,547,462,512,511,401
64,394,448,449,432,559,493,555,559,472,513,517,405
65,391,436,438,423,539,477,551,547,462,512,511,401
66,394,445,443,429,559,489,562,558,468,519,518,403
67,391,436,438,423,539,477,551,547,462,512,511,401
68,398,443,440,437,557,485,585,581,484,534,537,418
69,395,445,445,429,552,487,553,550,465,513,513,402
70,400,456,454,438,570,498,588,580,481,537,534,412
71,399,452,451,434,564,495,554,552,466,514,514,402
72,401,454,450,437,568,495,561,555,464,516,513,398
73,400,454,451,436,568,496,554,552,463,514,512,398
74,397,449,447,434,566,495,565,569,476,525,525,407
75,395,446,444,432,562,491,553,551,463,513,512,398
76,391,442,442,428,559,491,560,561,472,522,524,407
77,389,441,441,426,557,490,553,551,465,513,512,400
78,398,456,453,436,580,505,562,560,470,516,520,404
79,391,442,442,428,558,490,562,555,467,519,515,401
80,401,463,458,442,591,514,572,570,480,526,525,408
81,391,442,442,429,559,491,564,556,467,520,516,402
82,406,462,457,447,587,512,579,582,489,532,537,417
83,391,442,442,430,559,491,567,557,468,522,517,402
84,401,456,454,443,581,507,605,582,483,552,541,416
85,391,442,442,430,559,491,567,557,468,522,517,402
86,393,444,440,434,563,490,579,565,470,532,525,404
87,392,443,441,430,561,491,567,557,467,522,517,402
88,397,447,441,437,569,493,583,565,470,531,523,403
89,395,449,445,434,569,497,568,560,471,523,519,404
90,401,461,456,448,592,513,597,585,489,543,536,415
91,395,449,446,434,570,498,569,561,475,524,520,407
92,406,469,464,448,601,523,583,582,492,528,532,418
93,396,450,447,437,571,499,579,565,476,530,523,408
94,400,458,454,448,590,513,607,586,489,547,537,416
95,396,450,447,437,571,499,579,565,476,530,523,408
96,397,450,444,439,577,499,590,583,489,534,537,417
97,398,452,446,441,577,502,590,571,480,537,527,411
98,404,464,459,451,601,521,614,590,490,556,541,417
99,398,452,446,441,577,502,590,571,480,537,527,411
100,404,469,464,451,609,529,607,591,496,548,542,420
101,398,452,446,441,577,502,590,571,480,537,527,411
102,417,478,469,464,616,531,618,597,497,554,545,421
103,398,452,446,441,577,502,590,571,480,537,527,411
104,397,460,452,443,596,514,593,584,489,537,536,417
105,395,450,446,439,576,502,591,573,482,539,532,414
106,388,443,441,433,571,499,593,582,487,544,541,419
107,387,441,440,431,568,496,589,571,478,537,530,411
108,391,449,445,439,583,505,617,590,489,561,549,420
109,387,442,440,431,568,497,589,571,479,538,530,412
110,394,457,453,447,598,518,615,594,493,552,546,422
111,387,442,440,431,568,497,589,571,479,538,530,412
112,388,442,438,438,574,497,617,591,491,560,549,424
113,387,443,440,432,571,498,589,572,481,538,531,413
114,392,448,443,441,581,503,634,609,505,573,563,432
115,389,445,442,434,574,501,590,574,485,539,532,416
116,401,460,454,452,601,519,622,600,503,563,555,430
117,389,445,442,434,574,501,590,574,485,539,532,416
118,391,448,446,440,580,506,622,599,499,561,553,428
119,387,443,440,432,571,498,590,572,482,538,531,414
120,400,457,451,449,597,513,626,597,497,564,552,425
121,387,443,440,432,571,498,590,572,482,538,531,414
122,387,443,441,432,574,502,601,591,496,547,545,424
123,388,443,441,433,571,499,590,573,483,538,531,414
124,387,452,451,435,590,514,585,574,484,530,528,412
125,384,441,439,430,569,497,582,569,480,528,525,409
126,385,441,438,431,573,498,585,577,483,532,530,410
127,385,444,441,431,573,500,580,568,478,527,524,408
128,382,444,440,429,579,502,586,571,478,531,526,407
129,387,450,447,435,584,508,581,570,478,528,525,407
130,394,459,453,444,599,518,590,577,484,537,532,411
131,387,450,447,435,584,508,581,570,478,528,525,407
132,397,469,465,454,617,533,616,602,498,545,544,420
133,387,450,447,435,584,508,581,570,478,528,525,407
134,389,454,451,440,593,514,588,587,491,531,535,415
135,389,453,450,437,589,512,582,570,478,527,524,406
136,385,449,447,434,587,512,581,573,483,525,524,408
137,385,449,447,434,587,512,581,573,483,525,524,408
138,399,470,462,452,618,532,602,587,490,538,533,413
139,385,449,447,434,587,512,581,573,483,525,524,408
140,394,461,456,447,608,526,609,596,495,538,538,416
141,385,449,447,434,587,512,581,573,483,525,524,408
142,390,462,459,445,613,531,604,601,500,537,543,421
143,385,449,447,434,587,512,581,573,483,525,524,408
144,396,467,465,450,617,535,611,594,497,544,539,417
145,385,449,447,434,587,512,581,573,483,525,524,408
146,390,455,453,439,597,521,593,588,492,535,538,416
147,385,449,447,434,587,512,581,573,483,525,524,408
148,387,461,457,439,610,527,590,583,488,530,530,410
149,385,449,447,434,587,512,581,573,483,525,524,408
150,402,474,467,454,624,538,594,603,507,531,545,427
151,386,450,448,435,589,513,586,578,486,529,532,414
152,399,469,460,453,622,533,608,596,495,544,544,419
153,386,450,448,435,589,513,586,578,486,529,532,414
154,385,455,451,437,603,521,588,582,491,527,534,418
155,384,449,447,435,588,513,587,580,488,526,534,416
156,386,458,457,439,602,526,609,601,505,544,551,428
157,384,449,447,435,588,513,587,580,488,526,534,416
158,385,452,451,441,594,517,617,599,495,546,548,421
159,384,449,447,435,588,513,587,580,487,526,533,416
160,388,456,451,445,605,522,616,613,509,545,560,433
161,387,456,453,440,600,521,589,582,489,527,535,417
162,403,479,474,459,637,550,609,598,503,541,549,428
163,387,456,453,440,600,521,589,582,489,527,535,417
164,392,468,464,446,618,534,592,592,499,528,544,425
165,388,456,454,440,600,521,591,586,492,530,541,422
166,405,482,476,465,644,553,628,615,513,559,566,438
167,388,456,454,440,600,521,591,586,492,530,541,422
168,386,460,458,439,608,528,588,593,500,525,548,429
169,386,456,454,439,601,522,588,591,498,525,547,429
170,391,467,464,448,620,539,599,608,512,535,560,438
171,386,456,454,439,601,522,588,591,498,525,547,429
172,392,473,468,450,632,544,612,607,506,545,561,435
173,386,456,454,439,601,522,588,591,498,525,547,429
174,395,467,460,451,618,532,611,615,511,541,565,440
175,386,456,454,439,600,522,587,591,496,525,546,427
176,387,455,454,444,604,526,620,606,504,549,560,434
177,386,456,454,439,601,522,588,591,498,525,547,429
178,399,478,470,455,634,543,615,609,510,542,558,436
179,386,456,454,439,601,522,588,591,498,525,547,429
180,392,463,457,448,617,532,587,598,506,522,551,433
181,386,455,454,439,600,522,583,590,498,519,546,429
182,390,458,455,448,608,527,605,615,514,534,567,443
183,387,457,455,440,603,524,583,591,498,520,546,429
184,387,460,456,442,612,529,593,617,521,526,568,447
185,389,462,459,443,610,530,585,593,503,521,548,432
186,410,490,484,472,655,564,633,641,539,554,585,460
187,389,462,459,443,610,530,585,593,503,521,548,432
188,406,486,479,466,651,559,616,627,527,542,571,448
189,389,462,459,443,610,530,585,593,503,521,548,432
190,390,461,457,445,613,531,607,619,520,536,567,444
191,389,462,459,443,610,530,585,594,505,521,549,434
192,395,475,472,456,638,553,622,632,532,549,580,454
193,389,462,459,443,610,530,585,594,505,521,549,434
194,393,470,463,450,625,537,614,610,509,542,564,439
195,389,462,459,443,610,530,585,594,505,521,549,434
196,394,477,476,453,635,553,603,614,522,532,565,448
197,389,462,459,443,610,530,585,594,505,521,549,434
198,390,465,463,445,616,534,596,611,518,527,561,443
199,391,464,462,445,614,533,586,596,508,522,550,436
200,396,476,473,451,632,549,599,618,527,531,566,449
201,391,464,462,445,614,533,586,596,508,522,550,436
202,396,470,465,457,628,541,626,635,533,553,584,458
203,393,468,465,447,620,537,587,597,508,522,551,436
204,404,491,484,465,660,567,596,623,533,526,567,452
205,392,468,465,447,619,537,584,595,508,520,550,435
206,392,473,468,448,628,542,601,604,513,528,556,440
207,391,467,464,446,619,537,584,595,508,520,549,435
208,395,475,471,453,632,547,597,613,519,533,566,446
209,391,467,464,446,619,537,584,595,508,520,549,435
210,403,483,476,462,647,555,601,611,520,532,562,445
211,391,467,464,446,619,537,584,595,508,520,549,435
212,393,476,473,452,638,551,597,610,520,528,561,445
213,391,467,464,446,619,537,584,595,508,520,549,435
214,398,478,473,458,636,550,609,616,521,533,562,443
215,391,467,464,446,619,537,584,595,508,520,549,435
216,400,484,476,458,649,555,610,621,522,538,566,445
217,391,467,464,446,619,537,584,595,508,520,549,435
218,396,469,463,454,624,537,613,623,522,542,572,448
219,390,467,464,445,618,536,584,594,505,520,549,434
220,395,469,466,451,626,542,593,617,525,526,565,449
221,392,470,467,448,623,540,587,598,510,523,551,437
222,391,468,466,448,623,542,605,613,519,536,562,441
223,391,468,465,446,620,538,587,597,510,522,551,437
224,405,493,489,470,666,573,627,641,541,549,582,459
225,391,468,465,446,620,538,587,597,510,522,551,437
226,395,480,477,453,643,556,589,607,519,523,555,440
227,391,467,465,446,619,538,584,595,509,520,549,436
228,396,473,468,452,628,544,594,614,524,525,563,446
229,391,468,465,447,620,538,589,598,511,524,551,438
230,403,483,476,461,645,553,596,615,522,529,563,444
231,391,468,465,446,620,538,587,597,511,522,550,437
232,398,482,477,455,643,554,603,624,533,529,565,449
233,393,469,466,449,621,539,597,602,512,529,554,439
234,398,483,475,461,647,553,628,618,519,548,567,444
235,393,469,466,449,621,539,597,602,512,529,554,439
236,394,467,463,455,625,538,626,624,525,548,572,449
237,390,464,459,447,618,533,597,601,512,528,554,438
238,393,469,465,452,627,542,630,626,526,554,575,450
239,390,464,459,447,618,533,597,601,512,528,554,438
240,400,479,472,460,644,551,610,624,530,539,573,453
241,390,464,459,447,618,533,597,601,512,528,554,438
242,407,492,484,472,664,566,639,640,535,553,579,452
243,390,464,459,447,618,533,597,601,512,528,554,438
244,390,467,462,451,628,539,617,625,529,541,574,454
245,390,468,464,450,627,540,598,603,515,529,555,441
246,401,489,484,464,660,567,621,625,531,548,575,454
247,390,468,464,450,627,540,598,603,515,529,555,441
248,400,483,476,461,648,557,605,620,529,532,564,448
249,390,468,464,450,627,540,598,603,515,529,555,441
250,397,478,472,461,644,554,632,634,534,551,577,454
251,390,468,464,450,627,540,598,603,515,529,555,441
252,392,469,464,452,631,541,608,618,526,536,564,446
253,392,471,466,451,630,543,599,605,519,530,557,443
254,404,488,478,468,662,563,609,624,534,532,566,451
255,392,472,467,453,631,544,604,608,520,534,559,444
256,400,485,480,464,655,563,618,638,545,547,584,463
257,392,472,467,453,631,544,604,608,520,534,559,444
258,392,469,463,453,629,540,616,617,524,540,563,445
259,391,467,462,451,626,538,604,606,518,533,558,443
260,398,477,470,461,642,549,637,632,533,559,579,455
261,391,467,462,451,626,538,604,606,518,533,558,443
262,384,462,457,445,624,536,610,620,528,535,568,450
263,387,463,456,449,623,534,608,608,517,536,559,442
264,392,471,462,457,639,543,616,618,525,539,569,450
265,387,463,456,449,623,534,608,608,517,536,559,442
266,394,480,468,460,655,554,618,626,532,541,569,450
267,387,463,456,449,623,534,608,608,517,536,559,442
268,392,475,468,457,646,553,628,633,538,550,579,458
269,387,463,456,449,623,534,608,608,517,536,559,442
270,382,461,457,445,624,537,613,617,524,536,563,444
271,384,461,456,448,623,533,613,608,516,539,558,439
272,397,477,469,465,647,550,652,632,528,567,576,447
273,384,461,456,448,623,533,613,608,516,539,558,439
274,385,469,463,449,638,546,609,611,523,532,558,443
275,383,460,455,447,621,533,606,604,514,530,553,436
276,401,490,479,471,669,567,634,642,545,552,582,459
277,383,460,455,447,621,533,606,604,514,530,553,436
278,382,457,449,445,619,528,608,607,517,530,556,439
279,382,457,450,445,619,528,609,607,516,532,555,438
280,395,480,470,462,655,556,642,636,535,556,576,450
281,382,457,450,445,619,528,609,607,516,532,555,438
282,388,465,456,452,630,536,634,636,534,550,576,451
283,382,457,449,445,618,527,608,606,513,532,554,436
284,381,455,448,446,621,529,622,628,531,545,572,449
285,381,456,449,444,618,527,609,606,515,532,554,437
286,398,485,474,468,661,559,639,625,525,552,567,442
287,381,456,449,444,618,527,609,606,515,532,554,437
288,388,470,457,456,641,539,624,628,528,544,572,447
289,381,456,449,444,618,527,609,606,515,532,554,437
290,379,455,449,440,618,529,612,624,529,535,569,449
291,381,455,447,443,615,525,607,607,515,532,558,439
292,392,481,473,459,657,560,616,630,536,537,575,455
293,381,455,447,443,615,525,607,607,515,532,558,439
294,388,465,456,455,634,540,638,631,530,555,576,449
295,381,455,447,443,615,525,607,607,515,532,558,439
296,380,454,447,446,618,525,626,626,525,544,574,448
297,378,454,448,441,614,525,606,606,512,532,557,437
298,375,453,449,441,616,527,617,611,514,534,560,439
299,376,454,449,441,616,527,607,606,513,532,557,438
300,383,472,464,450,647,549,619,628,527,545,578,450
301,376,454,449,441,616,527,607,606,513,532,557,438
302,372,454,449,438,622,529,615,612,515,538,566,443
303,376,459,453,443,625,533,608,608,513,532,558,438
304,381,466,459,454,639,541,647,636,530,559,581,451
305,376,459,454,443,626,534,608,609,516,533,559,440
306,379,462,454,451,634,536,630,622,525,551,573,448
307,379,464,459,447,633,540,610,612,522,534,562,444
308,387,482,474,460,665,564,622,627,533,540,570,450
309,379,464,459,447,633,540,610,612,522,534,562,444
310,373,460,457,440,629,540,605,614,527,529,563,446
311,373,460,457,440,629,540,605,614,527,529,563,446
312,386,480,471,459,659,560,641,635,541,553,579,457
313,373,460,457,440,629,540,605,614,527,529,563,446
314,376,460,458,446,630,541,635,626,529,547,573,450
315,372,458,454,438,625,537,604,612,524,528,561,445
316,375,464,458,444,640,546,629,641,546,548,584,461
317,372,458,454,438,625,537,604,612,524,528,561,445
318,371,457,452,440,628,536,634,637,537,548,580,454
319,369,455,452,436,623,535,604,612,523,528,561,444
320,371,461,456,442,637,544,612,632,538,532,576,456
321,369,455,452,436,623,535,604,612,523,528,561,444
322,382,477,467,455,660,558,626,625,530,542,570,449
323,369,455,452,436,623,535,604,612,523,528,561,444
324,384,482,475,458,667,567,634,644,546,546,582,459
325,369,455,452,436,623,535,604,612,523,528,561,444
326,385,481,474,458,666,567,622,639,547,537,577,458
327,369,455,452,436,623,535,604,612,523,528,561,444
328,370,454,453,438,624,538,617,630,540,539,578,458
329,368,453,451,435,620,534,604,613,527,528,562,447
330,370,455,452,435,625,536,608,626,541,533,575,459
331,369,456,454,437,624,538,605,615,532,529,564,450
332,372,464,459,442,641,547,615,622,536,534,566,451
333,369,456,454,437,624,538,605,615,532,529,564,450
334,374,471,465,445,654,556,611,632,543,532,578,460
335,369,456,454,437,624,538,605,615,532,529,564,450
336,372,461,461,441,634,548,618,638,550,540,582,464
337,369,456,454,437,624,538,605,615,532,529,564,450
338,383,477,473,456,661,566,619,644,556,535,583,466
339,369,456,454,437,624,538,605,615,532,529,564,450
340,382,481,479,457,667,572,648,658,563,562,600,475
341,369,456,454,437,624,538,605,615,532,529,564,450
342,374,461,458,443,633,543,621,641,549,541,583,463
343,369,456,453,436,624,537,605,614,530,529,563,449
344,370,461,460,438,633,547,610,629,541,529,571,455
345,370,456,454,437,625,537,608,616,530,531,564,449
346,373,464,461,445,643,550,616,639,546,534,577,459
347,370,456,454,437,625,537,608,616,530,531,564,449
348,384,481,476,455,663,566,611,619,532,531,564,448
349,370,456,454,437,625,537,608,616,530,531,564,449
350,378,471,466,447,650,555,611,626,541,532,574,459
351,370,456,454,437,625,537,608,616,530,531,564,449
352,371,461,457,441,638,544,613,625,536,532,569,453
353,370,456,454,438,625,538,611,617,531,533,565,449
354,369,454,451,439,623,534,618,622,533,534,569,452
355,366,452,450,435,620,533,610,615,529,532,564,448
356,377,469,463,451,648,552,638,639,544,550,583,461
357,366,452,450,435,620,533,610,615,529,532,564,448
358,375,475,473,447,658,564,623,637,548,543,578,460
359,366,452,450,435,620,533,610,615,529,532,564,448
360,364,450,446,433,619,528,613,626,534,532,574,455
361,367,451,446,436,621,529,618,629,536,540,578,456
362,369,454,448,442,626,531,651,645,545,559,593,465
363,367,452,447,437,621,530,619,630,539,540,579,458
