Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5873636,2796,5870840,13571791,2796,13568995,1198727,2796,1195931,15074058,2796,15071262,29006981,2796,29004185,13190629,2796,13187833,24008887,2796,24006091,48875851,2796,48873055,36384172,2796,36381376,9953501,2796,9950705,44274882,2796,44272086,18015773,2796,18012977
2,5268157,2956,5265200,11938713,2956,11935756,829529,2956,826573,13664135,2956,13661178,26536255,2956,26533298,11594757,2956,11591800,22280482,2956,22277526,45401436,2956,45398479,34140022,2956,34137065,9120966,2956,9118010,41274796,2956,41271839,16661604,2956,16658648
3,5268157,2956,5265200,11938713,2956,11935756,829529,2956,826573,13664135,2956,13661178,26536255,2956,26533298,11594757,2956,11591800,22280482,2956,22277526,45401436,2956,45398479,34140022,2956,34137065,9120966,2956,9118010,41274796,2956,41271839,16661604,2956,16658648
4,4655811,3116,4652694,10408593,3116,10405476,521657,3116,518541,12275042,3116,12271925,24286086,3116,24282969,10187572,3116,10184455,20632184,3116,20629067,42003399,3116,42000282,32050470,3116,32047354,8305067,3116,8301950,38417671,3116,38414554,15356703,3116,15353586
5,4655811,3116,4652694,10408593,3116,10405476,521657,3116,518541,12275042,3116,12271925,24286086,3116,24282969,10187572,3116,10184455,20632184,3116,20629067,42003399,3116,42000282,32050470,3116,32047354,8305067,3116,8301950,38417671,3116,38414554,15356703,3116,15353586
6,4066351,3260,4063090,9052420,3260,9049159,311109,3260,307848,11216473,3260,11213212,22654014,3260,22650753,9180695,3260,9177434,19377409,3260,19374148,39968740,3260,39965479,30888173,3260,30884912,7854157,3260,7850896,36776585,3260,36773324,14657045,3260,14653784
7,4066351,3260,4063090,9052420,3260,9049159,311109,3260,307848,11216473,3260,11213212,22654014,3260,22650753,9180695,3260,9177434,19377409,3260,19374148,39968740,3260,39965479,30888173,3260,30884912,7854157,3260,7850896,36776585,3260,36773324,14657045,3260,14653784
8,3377854,3483,3374370,7546348,3483,7542864,125291,3483,121807,9686486,3483,9683002,19966589,3483,19963105,7683249,3483,7679765,17157874,3483,17154390,35592652,3483,35589168,27979456,3483,27975972,6783377,3483,6779893,32796899,3483,32793415,12812897,3483,12809413
9,3377854,3483,3374370,7546348,3483,7542864,125291,3483,121807,9686486,3483,9683002,19966589,3483,19963105,7683249,3483,7679765,17157874,3483,17154390,35592652,3483,35589168,27979456,3483,27975972,6783377,3483,6779893,32796899,3483,32793415,12812897,3483,12809413
10,2965747,3614,2962133,6663306,3614,6659692,62687,3614,59072,8685990,3614,8682376,18573284,3614,18569670,6916697,3614,6913083,15845331,3614,15841716,33361264,3614,33357650,26651556,3614,26647942,6139193,3614,6135578,30756030,3614,30752415,11978552,3614,11974938
11,2965747,3614,2962133,6663306,3614,6659692,62687,3614,59072,8685990,3614,8682376,18573284,3614,18569670,6916697,3614,6913083,15845331,3614,15841716,33361264,3614,33357650,26651556,3614,26647942,6139193,3614,6135578,30756030,3614,30752415,11978552,3614,11974938
12,2782249,3722,2778526,6212607,3722,6208885,32489,3722,28766,8144290,3722,8140567,17694747,3722,17691024,6267701,3722,6263978,15068112,3722,15064389,31245329,3722,31241606,25332356,3722,25328633,5679169,3722,5675446,28921487,3722,28917765,11048502,3722,11044780
13,2782249,3722,2778526,6212607,3722,6208885,32489,3722,28766,8144290,3722,8140567,17694747,3722,17691024,6267701,3722,6263978,15068112,3722,15064389,31245329,3722,31241606,25332356,3722,25328633,5679169,3722,5675446,28921487,3722,28917765,11048502,3722,11044780
14,2599894,3934,2595960,5727057,3934,5723123,7301,3934,3367,7069286,3934,7065352,15758949,3934,15755015,5134315,3934,5130381,13393271,3934,13389337,26871553,3934,26867619,22268469,3934,22264535,4554188,3934,4550254,24715850,3934,24711916,9076329,3934,9072395
15,2599894,3934,2595960,5727057,3934,5723123,7301,3934,3367,7069286,3934,7065352,15758949,3934,15755015,5134315,3934,5130381,13393271,3934,13389337,26871553,3934,26867619,22268469,3934,22264535,4554188,3934,4550254,24715850,3934,24711916,9076329,3934,9072395
