Hour,lum_sum[cd],Power[w]
9,5357,193
10,4350,160
11,3815,143
12,1536,65
13,3171,116
14,4850,177
15,5649,202
16,5197,186
17,3066,116
18,3593,134
19,3058,116
20,2901,111
21,1536,65
22,1536,65
