Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,227,304,309,228,316,314,293,514,699,292,545,699
10,346,390,393,396,461,434,306,509,442,249,385,331
11,299,240,218,251,264,249,225,381,503,195,317,377
12,109,118,121,113,130,122,113,128,127,106,125,117
13,157,207,300,156,205,240,235,209,181,299,239,168
14,409,385,350,512,476,382,455,442,351,403,407,312
15,413,406,344,465,509,384,649,648,525,508,602,474
16,393,319,265,524,440,310,560,705,549,457,644,500
17,302,387,333,327,504,383,178,215,203,148,179,166
18,300,370,321,334,505,380,272,269,228,302,261,196
19,303,383,328,328,502,381,178,215,203,149,179,166
20,261,367,325,305,499,384,176,214,203,147,178,165
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
