Hour,lum_sum[cd],Power[w]
9,6330,224
10,6956,244
11,6928,244
12,1536,65
13,4712,170
14,5255,186
15,5812,212
16,5584,201
17,4793,173
18,6142,218
19,5527,196
20,2349,92
21,1536,65
22,1536,65
