Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,463,311,128,554,641,574,1178,239,128,128,128,128
10,270,335,157,502,889,270,771,660,549,284,1142,156
11,401,376,343,517,481,399,746,883,978,338,393,753
12,128,128,128,128,128,128,128,128,128,128,128,128
13,131,276,224,488,491,204,741,794,1280,159,791,694
14,216,129,128,128,1082,128,443,793,1254,357,840,128
15,134,204,177,151,589,458,508,975,1158,256,438,631
16,464,437,162,440,350,142,1266,1232,128,128,552,128
17,446,377,246,542,330,272,1103,556,1280,134,434,693
18,387,536,257,610,387,272,531,461,1280,320,729,857
19,260,440,235,513,469,391,128,1280,128,154,571,131
20,131,391,129,1280,552,184,128,368,128,128,129,129
21,128,128,128,128,128,128,128,128,128,128,128,128
22,128,128,128,128,128,128,128,128,128,128,128,128
