Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,409,408,376,461,489,418,509,383,286,370,316,233
10,395,443,409,463,575,468,555,643,581,488,656,551
11,414,435,440,462,523,480,544,659,700,463,590,613
12,109,118,121,113,130,122,113,128,127,106,125,117
13,327,364,366,403,473,422,531,678,760,449,650,690
14,298,387,375,343,554,473,459,641,700,423,618,594
15,259,338,378,306,458,461,451,641,726,392,572,618
16,402,388,331,450,459,347,660,701,519,507,602,445
17,412,403,384,461,470,415,584,608,683,458,555,601
18,419,438,418,457,491,438,467,582,706,425,589,663
19,346,383,376,389,459,406,347,587,502,306,508,423
20,421,387,306,531,461,320,242,290,248,191,230,201
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
