Hour,lum_sum[cd],Power[w]
9,4603,170
10,5989,210
11,6612,236
12,1536,65
13,6279,229
14,5630,207
15,5685,207
16,5432,196
17,6420,228
18,6632,235
19,4704,170
20,3680,138
21,1536,65
22,1536,65
