Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,28,30,24,52,58,28,56,45,95,39,70,48
10,34,38,26,45,40,28,55,62,104,46,41,51
11,36,32,23,45,48,32,57,50,103,43,39,57
12,12,12,12,12,12,12,12,12,12,12,12,12
13,33,37,27,47,27,33,69,53,105,44,53,39
14,12,18,12,105,12,41,38,26,88,48,57,82
15,36,21,24,45,44,38,48,49,93,41,53,52
16,34,29,26,45,45,30,63,56,105,45,39,50
17,32,38,26,41,37,37,67,31,86,48,49,64
18,37,34,23,38,28,50,66,52,105,42,41,57
19,45,37,25,36,28,21,78,94,31,14,40,16
20,19,15,12,15,89,12,26,99,27,12,73,12
21,72,14,12,16,12,12,12,12,12,12,12,12
22,12,12,12,12,12,12,12,12,12,12,12,12
