Hour,lum_sum[cd],Power[w]
9,6852,248
10,6727,247
11,6960,244
12,1536,65
13,6814,245
14,6517,233
15,6758,236
16,6767,245
17,6544,241
18,7009,248
19,5736,202
20,4916,179
21,2356,93
22,1536,65
