Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,436,462,451,499,567,499,549,639,694,501,635,633
10,427,451,442,470,531,476,542,636,695,497,602,608
11,443,464,458,488,557,507,544,626,718,490,591,632
12,109,118,121,113,130,122,113,128,127,106,125,117
13,416,426,433,460,492,461,583,640,704,524,620,618
14,424,348,339,547,434,389,485,555,658,470,585,644
15,411,419,432,458,521,490,526,633,710,487,623,643
16,408,429,431,455,520,474,573,637,704,519,605,617
17,395,421,431,433,484,455,550,561,616,506,566,578
18,410,435,465,442,503,512,573,640,728,514,609,638
19,426,414,385,457,477,398,584,672,560,461,578,470
20,302,382,355,349,541,436,416,658,581,366,609,515
21,299,214,164,233,199,152,132,145,141,119,139,127
22,109,118,121,113,130,122,113,128,127,106,125,117
