Hour,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
9,256,357,321,296,499,384,268,266,227,304,261,195
10,334,372,380,402,491,452,542,695,760,477,672,682
11,303,308,305,244,284,301,145,171,179,130,155,150
12,109,118,121,113,130,122,113,128,127,106,125,117
13,301,351,317,370,501,389,331,545,466,297,507,422
14,408,342,306,500,376,274,205,207,183,164,176,156
15,207,249,299,243,338,349,390,666,741,348,608,696
16,428,375,339,554,482,394,353,560,493,279,423,374
17,430,351,327,499,420,358,402,547,645,388,599,638
18,207,221,224,259,315,267,553,702,556,465,672,523
19,109,118,121,113,130,122,113,128,127,106,125,117
20,109,118,121,113,130,122,113,128,127,106,125,117
21,109,118,121,113,130,122,113,128,127,106,125,117
22,109,118,121,113,130,122,113,128,127,106,125,117
