Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,12,13,13,103,12,12,45,28,83,46,31,27
10,15,26,20,49,30,39,33,55,66,51,74,62
11,12,21,12,103,32,12,33,33,102,38,68,66
12,12,12,12,12,12,12,12,12,12,12,12,12
13,26,28,12,49,56,15,82,45,105,31,66,15
14,23,18,18,86,25,50,40,31,105,38,51,59
15,44,26,17,40,23,34,105,49,94,20,64,57
16,12,25,34,89,18,12,73,12,12,14,92,12
17,32,36,23,42,65,20,64,44,97,33,77,14
18,12,31,13,105,28,42,12,44,68,26,88,66
19,39,28,14,12,12,39,12,26,97,17,88,85
20,12,12,12,12,12,17,12,27,105,25,93,63
21,12,12,12,12,12,12,12,46,103,12,12,22
22,12,12,12,12,12,12,12,12,12,12,12,12
