Hour,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
9,132,147,153,1267,131,133,562,323,1016,527,391,348
10,168,308,233,628,378,463,390,659,851,622,910,736
11,131,245,128,1263,371,137,392,421,1254,474,818,813
12,128,128,128,128,128,128,128,128,128,128,128,128
13,328,338,128,595,672,167,964,513,1280,379,744,191
14,279,208,216,1068,304,592,502,367,1267,481,647,664
15,525,296,208,452,276,420,1280,627,1068,234,791,698
16,128,312,410,1117,204,130,899,138,128,155,1124,133
17,396,428,289,496,731,247,769,505,1192,402,955,155
18,128,368,155,1267,339,507,128,526,785,331,980,759
19,493,352,160,128,137,508,128,314,1070,203,977,974
20,128,128,133,128,129,216,128,336,1199,318,1062,800
21,128,128,128,128,128,128,128,569,1267,128,135,278
22,128,128,128,128,128,128,128,128,128,128,128,128
