Step,Power[cd],Power[W]
0,0,0
1,2796.0,106.6272
2,2917.1599999999994,108.33000000000001
3,2917.1599999999994,108.33000000000001
4,3072.6176,112.1613
5,3072.6176,112.1613
6,3220.341464,117.6954
7,3220.341464,117.6954
8,3415.56096136,124.08090000000001
9,3415.56096136,124.08090000000001
10,3592.1780921344,129.615
11,3592.1780921344,129.615
12,3740.3569555520007,134.72340000000003
13,3740.3569555520007,134.72340000000003
14,3924.294167463283,140.6832
15,3924.294167463283,140.6832
16,4136.740670620583,147.0687
17,4136.740670620583,147.0687
18,4260.272618064909,150.9
19,4267.257779132144,150.9
20,4459.437525831816,157.71120000000002
21,4469.915267432668,157.71120000000002
22,4708.369723681002,164.94810000000004
23,4697.89198208015,164.94810000000004
24,4915.592365902834,171.7593
25,4912.099785369216,171.7593
26,5152.815154361231,180.27329999999998
27,5121.5610025716705,180.27329999999998
28,5432.604164204598,189.21300000000005
29,5390.855991449368,189.21300000000005
30,5481.884413459187,190.91580000000002
31,5458.837156726963,190.91580000000002
32,5761.451691281125,200.2812
33,5717.802793858209,200.2812
34,6036.69081989882,209.64660000000003
35,5993.114060669768,209.64660000000003
36,6208.288895518913,215.1807
37,6108.110306960261,215.1807
38,6390.501923507156,221.56620000000004
39,6252.724758736596,221.56620000000004
40,6632.868631673064,229.2288
41,6310.255170079254,229.2288
42,6427.579620592404,223.269
43,6348.351882263336,223.269
44,6572.034075977116,227.1003
45,6381.259277551335,227.1003
46,6533.978791154567,226.6746
47,6361.733043202432,226.6746
48,6544.509578304114,226.2489
49,6403.196361265311,226.2489
50,6659.510376840525,230.50590000000003
51,6425.171919838636,230.50590000000003
52,6657.025244675551,230.50590000000003
53,6455.351686946005,230.50590000000003
54,6592.039591585992,228.37740000000002
55,6523.3178608985945,228.37740000000002
56,6653.1710309230575,230.08020000000002
57,6529.967749785357,230.08020000000002
58,6726.158945798903,232.63440000000003
59,6529.967749785357,232.63440000000003
60,6787.168666940956,234.7629
61,6605.531850668784,234.7629
62,6826.4615214460755,236.04000000000002
63,6629.092966347891,236.04000000000002
64,6942.954600401059,240.7227
65,6629.092966347891,240.7227
66,6807.535815189459,236.4657
67,6657.097022135289,236.4657
68,6889.580332563291,239.01989999999998
69,6657.097022135289,239.01989999999998
70,6821.1733921794275,236.04000000000002
71,6647.482296314949,236.04000000000002
72,6849.208599501091,237.74280000000002
73,6647.482296314949,237.74280000000002
74,6763.506805181061,234.7629
75,6647.482296314949,234.7629
76,6892.528046205739,239.44560000000004
77,6647.482296314949,239.44560000000004
78,6819.098612891997,236.04000000000002
79,6647.482296314949,236.04000000000002
80,6930.317053880133,240.297
81,6647.482296314949,240.297
82,6933.4745908093755,240.72270000000003
83,6647.482296314949,240.72270000000003
84,6906.431445320328,239.4456
85,6647.482296314949,239.4456
86,6814.764123773895,236.46570000000003
87,6666.519453439221,236.46570000000003
88,6911.330365572187,239.87130000000005
89,6666.519453439221,239.87130000000005
90,7038.137317991714,243.70260000000002
91,6666.519453439221,243.70260000000002
92,6869.435311367262,238.16850000000002
93,6666.519453439221,238.16850000000002
94,6815.159332414339,236.04000000000002
95,6666.519453439221,236.04000000000002
96,6866.141604506692,237.74280000000002
97,6676.228403572601,237.74280000000002
98,6878.347545888739,238.59420000000003
99,6676.228403572601,238.59420000000003
100,6868.430282245132,238.16850000000002
101,6676.228403572601,238.16850000000002
102,6804.6570207378345,235.61430000000001
103,6671.732753293216,235.61430000000001
104,6867.851389971742,238.5942
105,6671.732753293216,238.5942
106,6910.6162740235595,239.87130000000002
107,6671.732753293216,239.87130000000002
108,6829.070620637349,237.31710000000004
109,6676.0772392827,237.31710000000004
110,6796.350626502808,236.04000000000002
111,6676.0772392827,236.04000000000002
112,6877.022366125362,238.16850000000005
113,6725.10253443645,238.16850000000005
114,7037.88471266797,244.554
115,6725.10253443645,244.554
116,6894.682233461482,239.0199
117,6725.10253443645,239.0199
118,6854.696017014992,237.74280000000002
119,6725.10253443645,237.74280000000002
120,6965.381642280146,241.57410000000004
121,6725.10253443645,241.57410000000004
122,6899.057364897281,239.87130000000002
123,6725.10253443645,239.87130000000002
124,6967.179699184509,242.4255
125,6725.10253443645,242.4255
126,6969.442577612404,241.57410000000004
127,6725.10253443645,241.57410000000004
128,6833.327498431985,236.89139999999998
129,6725.10253443645,236.89139999999998
130,6815.885986076225,236.46569999999997
131,6725.10253443645,236.46569999999997
132,6947.12206580272,240.72270000000003
133,6709.497364137769,240.72270000000003
134,6970.316819172945,242.4255
135,6709.497364137769,242.4255
136,7011.227397659664,242.42550000000003
137,6709.497364137769,242.42550000000003
138,6847.16065126834,237.74280000000005
139,6709.497364137769,237.74280000000005
140,7070.030586422228,244.9797
141,6709.497364137769,244.9797
142,7011.463691298275,242.85120000000003
143,6709.497364137769,242.85120000000003
144,6863.04811613259,238.16850000000005
145,6699.305005275306,238.16850000000005
146,6829.924424401538,236.46570000000003
147,6699.305005275306,236.46570000000003
148,6769.533739186367,234.7629
149,6699.305005275306,234.7629
150,6759.684929518718,234.3372
151,6730.422479482058,234.3372
152,6867.6883281882665,237.74280000000002
153,6730.422479482058,237.74280000000002
154,6903.014405311402,239.4456
155,6730.422479482058,239.4456
156,6987.48233339931,242.42550000000003
157,6730.422479482058,242.42550000000003
158,6997.535741929975,242.85120000000006
159,6730.422479482058,242.85120000000006
160,7021.714001067445,244.12830000000002
161,6730.422479482058,244.12830000000002
162,6874.421939402185,238.16850000000002
