Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,739853,2796,737057,5505802,2796,5503006,1016071,2796,1013275,4748144,2796,4745348,23325228,2796,23322432,6396327,2796,6393531,13721871,2796,13719075,34981588,2796,34978792,34241176,2796,34238380,345232,2796,342436,27869076,2796,27866280,7076398,2796,7073602
2,621726,2875,618851,4937743,2875,4934867,811119,2875,808243,4342457,2875,4339582,22270025,2875,22267149,5853206,2875,5850331,13232790,2875,13229915,33784021,2875,33781145,33253188,2875,33250313,306847,2875,303972,27131171,2875,27128296,6952065,2875,6949190
3,621726,2875,618851,4937743,2875,4934867,811119,2875,808243,4342457,2875,4339582,22270025,2875,22267149,5853206,2875,5850331,13232790,2875,13229915,33784021,2875,33781145,33253188,2875,33250313,306847,2875,303972,27131171,2875,27128296,6952065,2875,6949190
4,485509,2987,482521,4480205,2987,4477218,643105,2987,640117,4000163,2987,3997175,21304187,2987,21301200,5488559,2987,5485571,12755346,2987,12752359,32604965,2987,32601978,32301022,2987,32298035,251381,2987,248394,26327163,2987,26324176,6788895,2987,6785908
5,485509,2987,482521,4480205,2987,4477218,643105,2987,640117,4000163,2987,3997175,21304187,2987,21301200,5488559,2987,5485571,12755346,2987,12752359,32604965,2987,32601978,32301022,2987,32298035,251381,2987,248394,26327163,2987,26324176,6788895,2987,6785908
6,383334,3085,380248,4089391,3085,4086306,491358,3085,488272,3728785,3085,3725700,20541011,3085,20537925,5173059,3085,5169973,12422121,3085,12419036,31655942,3085,31652857,31488751,3085,31485666,226785,3085,223700,25695958,3085,25692873,6640004,3085,6636918
7,383334,3085,380248,4089391,3085,4086306,491358,3085,488272,3728785,3085,3725700,20541011,3085,20537925,5173059,3085,5169973,12422121,3085,12419036,31655942,3085,31652857,31488751,3085,31485666,226785,3085,223700,25695958,3085,25692873,6640004,3085,6636918
8,263284,3231,260053,3548088,3231,3544856,338442,3231,335211,3301645,3231,3298414,18993297,3231,18990065,4667920,3231,4664689,11562944,3231,11559713,29784981,3231,29781750,29741378,3231,29738147,165825,3231,162593,24276109,3231,24272878,6359813,3231,6356582
9,263284,3231,260053,3548088,3231,3544856,338442,3231,335211,3301645,3231,3298414,18993297,3231,18990065,4667920,3231,4664689,11562944,3231,11559713,29784981,3231,29781750,29741378,3231,29738147,165825,3231,162593,24276109,3231,24272878,6359813,3231,6356582
