Step,Power[cd],Power[W]
0,0,0
1,2796.0,106.6272
2,2900.8500000000004,106.62720000000003
3,2905.51,106.62720000000003
4,2980.7922999999996,109.60710000000003
5,2994.7722999999996,109.60710000000003
6,3045.2780789999997,111.30990000000001
7,3049.9380789999996,111.30990000000001
8,3156.73120813,115.56690000000002
9,3154.40120813,115.56690000000002
10,3214.4670152255,117.26970000000003
11,3228.4470152255,117.26970000000003
12,3342.868698754094,121.52670000000002
13,3349.858698754094,121.52670000000002
14,3399.637709938137,122.80380000000002
15,3420.607709938137,122.80380000000002
16,3481.11207636197,126.20940000000002
17,3488.1020763619704,126.20940000000002
18,3543.1455681645452,127.9122
19,3552.4655681645454,127.9122
20,3657.2193789390426,131.3178
21,3661.8793789390425,131.3178
22,3782.6432245347005,135.5748
23,3812.224377819136,135.5748
24,3875.3259073321906,138.98040000000003
25,3903.940493377577,138.98040000000003
26,4017.7471133468703,143.2374
27,4040.403337494971,143.2374
28,4074.363576942077,144.9402
29,4121.9257171562385,144.9402
30,4159.889169849166,147.92010000000005
31,4188.59341580977,147.92010000000005
32,4182.037746015866,148.34580000000003
33,4149.3968513331365,148.34580000000003
34,4139.60319630226,147.0687
35,4139.60319630226,147.0687
36,4196.018910257577,148.77150000000003
37,4228.016488830729,148.77150000000003
38,4270.211399225954,150.90000000000003
39,4293.402797479282,150.90000000000003
40,4287.811064876151,152.1771
41,4287.811064876151,152.1771
42,4308.8580616443405,152.6028
43,4366.1074183386245,152.6028
44,4363.790205911163,154.7313
45,4363.790205911163,154.7313
46,4339.33899975004,154.3056
47,4339.33899975004,154.3056
48,4362.130639192469,155.15699999999998
49,4401.377651033922,155.15699999999998
50,4463.490130010109,158.5626
51,4513.962820841048,158.5626
52,4635.61058791815,164.09669999999997
53,4668.172370260742,164.09669999999997
54,4611.0222735934485,163.24530000000004
55,4611.0222735934485,163.24530000000004
56,4599.149725256387,163.67100000000002
57,4599.149725256387,163.67100000000002
58,4566.440201398731,162.8196
59,4566.440201398731,162.8196
60,4561.805455156235,161.9682
61,4561.805455156235,161.9682
62,4485.855310476839,159.8397
63,4485.855310476839,159.8397
64,4465.446687264108,158.9883
65,4465.446687264108,158.9883
66,4432.8964294096495,158.9883
67,4459.835802461031,158.9883
68,4430.391578468165,157.7112
69,4437.7214023276165,157.7112
70,4473.934745921443,159.41400000000002
71,4476.318794974083,159.41400000000002
72,4423.235179204994,158.1369
73,4464.190256204722,158.1369
74,4435.448178905612,157.71120000000002
75,4435.448178905612,157.71120000000002
76,4328.813992512751,154.30560000000003
77,4423.575476972845,154.30560000000003
78,4429.751432230116,157.2855
79,4423.575476972845,157.2855
80,4370.036571441624,155.58270000000002
81,4425.063460319465,155.58270000000002
82,4371.452613477238,155.157
83,4440.558522902538,155.157
84,4455.53363289801,158.5626
85,4440.558522902538,158.5626
86,4452.930884053648,158.56259999999997
87,4440.558522902538,158.56259999999997
88,4385.153032041451,156.8598
89,4385.153032041451,156.8598
90,4318.246897913054,153.87990000000002
91,4374.248816642047,153.87990000000002
92,4370.070415729346,155.15699999999998
93,4370.070415729346,155.15699999999998
94,4313.929421957562,153.45420000000001
95,4374.305769651595,153.45420000000001
96,4301.1656792481535,153.8799
97,4363.678128815378,153.8799
98,4337.298782681664,155.15699999999998
99,4361.175895340523,155.15699999999998
100,4351.009672986373,155.5827
101,4353.03576137484,155.5827
102,4325.366035506916,154.73129999999998
103,4311.405393249885,154.73129999999998
104,4296.013974672304,153.87990000000002
105,4296.013974672304,153.87990000000002
106,4314.025565712823,153.87990000000002
107,4308.2786682983515,153.87990000000002
108,4270.698065804318,153.02850000000004
109,4287.040191702155,153.02850000000004
110,4254.893143533826,153.0285
111,4287.040191702155,153.0285
112,4249.602218140235,152.1771
113,4289.9682854665125,152.1771
114,4244.576718366412,152.1771
115,4293.154945607841,152.1771
116,4270.765562640562,153.4542
117,4293.494239212748,153.4542
118,4251.468651845593,152.1771
119,4269.840005593358,152.1771
120,4245.157938187167,152.1771
121,4275.940342752909,152.1771
122,4292.9404744968715,154.3056
123,4275.940342752909,154.3056
124,4245.059708957427,152.1771
125,4282.570482094742,152.1771
126,4221.737783012754,151.7514
127,4289.333224223413,151.7514
128,4310.726258950681,153.45420000000004
129,4289.333224223413,153.45420000000004
130,4279.04490348355,152.6028
131,4287.780954687818,152.6028
132,4340.175121392618,155.157
133,4287.780954687818,155.157
134,4338.939284084824,155.157
135,4287.780954687818,155.157
136,4279.479557083043,153.87990000000002
137,4294.747931628774,153.87990000000002
138,4292.188733340553,153.45420000000001
139,4308.485744461793,153.45420000000001
140,4326.2666798742275,154.7313
141,4308.485744461793,154.7313
142,4309.767054122916,154.7313
143,4308.485744461793,154.7313
144,4292.586035702896,153.45420000000004
145,4310.426618989549,153.45420000000004
146,4283.5290414978335,153.8799
147,4295.827097720313,153.8799
148,4251.015388441888,152.1771
149,4289.715012534214,152.1771
150,4250.506159276346,152.1771
151,4305.346951845125,152.1771
152,4238.57510448125,152.17710000000002
153,4298.173160603279,152.17710000000002
154,4260.251944411268,153.02850000000004
155,4295.860141589051,153.02850000000004
156,4300.181611628555,153.87990000000002
157,4295.860141589051,153.87990000000002
158,4289.614227620822,153.45420000000001
159,4289.614227620822,153.45420000000001
160,4323.259754806714,154.7313
161,4289.614227620822,154.7313
162,4329.333358915099,154.7313
163,4289.614227620822,154.7313
164,4287.71404982627,154.3056
165,4287.71404982627,154.3056
166,4257.886528412836,152.17710000000002
